彚 彙
廾 廿
婿 聟
閇 閉
阮 阮
巽 巺
沱 沲
逹 達
摭 拓
閤 合
耘 秐
濾 濾
檜 栝
隕 殒
刦 劫
穽 阱
彬 份
倖 幸
搗 擣
蘂 蕊
袴 褲
証 證
蓼 蓼
彝 彛
朦 蒙
譌 訛
菟 莵
釀 醸
騃 呆
攷 考
糾 糺
彗 篲
噁 恶
溯 泝
埀 垂
穰 穣
啗 啖
凖 準
崗 岡
穗 穂
垛 垜
礼 礼
豔 艶
瞭 了
関 關
僥 徺
闘 鬥
鏟 剗
浚 濬
恂 悛
虺 蝰
臈 臘
垓 陔
邢 郉
韈 襪
蕊 蘂
艷 豔
饋 餽
煅 鍛
寘 置
渢 沨
碯 瑙
畬 畭
蓆 席
靉 叆
勛 勲
菱 菱
塟 葬
扯 撦
駮 駁
丱 卝
棊 棋
歹 歺
纘 纉
恵 惠
毓 育
痢 痢
伙 夥
譁 哗
孳 孶
冽 洌
筞 策
讃 讚
鼕 冬
冢 塚
醴 醴
歉 欠
俎 爼
囓 嚙
蛛 鼄
賸 剩
髯 髥
攵 夊
筐 筺
欒 灤
萼 蕚
髦 犛
嚥 咽
纊 絋
囹 囹
榦 乾
撚 撚
抃 拚
珉 玟
敻 夐
軆 體
罥 羂
炮 砲
蠧 蠹
覊 羈
嵯 嵳
褓 褴
靆 叇
瀰 彌
泝 溯
柩 柾
麴 麹
褲 綯
曄 曅
恊 協
歛 斂
扛 摃
廠 厰
戱 戲
癒 愈
灮 光
覚 覺
柒 漆
棧 桟
莓 苺
徨 遑
皐 皋
壟 壟
犛 髦
樽 罇
矇 蒙
竒 奇
垠 圻
阬 坑
蝴 胡
醻 酬
嚏 嚔
箬 篛
舩 船
扠 搋
篡 簒
菀 苑
慤 愨
茘 荔
侫 佞
凾 函
蠹 蠧
刱 剏
蝨 虱
悛 恂
复 復
侄 姪
奩 匳
仿 倣
觝 牴
遡 溯
猾 獪
陜 陝
哄 閧
廸 迪
烱 炯
莆 蒲
櫂 棹
応 應
糺 糾
羇 羈
憇 憩
娟 姢
裊 嬝
檇 槜
迯 逃
璘 璘
廐 廄
蜘 鼅
綉 繡
簑 蓑
佔 占
淒 凄
俻 備
柿 枾
蜺 霓
蛔 蜖
堊 聖
観 觀
缶 罐
穉 稚
屩 蹺
餝 飾
覇 霸
妳 你
萠 萌
邉 邊
覙 覼
熹 熺
尫 尪
巵 卮
氂 犛
弉 奘
蘓 蘇
宍 肉
閧 哄
昶 暢
苽 菇
蛋 旦
斆 斅
煽 搧
儁 俊
拚 抃
肻 肯
瀨 瀬
婀 娿
嘎 尜
犇 奔
芊 茜
阱 穽
椶 棕
経 經
麽 麼
臏 髕
円 圓
釆 采
爼 俎
讌 燕
羃 冪
舄 舃
襤 襤
摂 攝
洴 泙
聼 聽
洌 冽
駞 駝
鬨 哄
搯 掏
呱 哌
硎 研
潸 𣽽
蠏 蟹
晰 晢
韭 艽
塩 鹽
啓 啟
渉 涉
礼 礼
朞 期
聡 聰
剿 勦
玆 茲
賬 帳
韮 韭
繙 翻
塜 塳
餽 饋
崐 崑
桁 航
窯 窰
貊 貘
蕚 萼
択 擇
皁 皂
寛 寬
牋 箋
埒 埓
擧 舉
紬 綢
卹 恤
郄 隙
瓷 甆
崕 崖
兦 亡
剷 鏟
螳 螗
宂 冗
篲 彗
驩 歡
撦 扯
犲 豺
廄 廐
喰 餐
歴 歷
胭 臙
謼 呼
舵 柁
嶋 島
帋 紙
濼 泊
従 從
変 變
菔 蔔
輛 輌
薺 萕
礡 礴
乩 稽
悳 德
圻 垠
翬 翚
鷰 燕
蕋 蕊
戞 戛
礴 礡
囌 蘇
朢 望
攴 撲
嫋 嬝
聴 聽
撅 掘
扞 擀
継 繼
栝 檜
尨 龍
拴 揎
秏 耗
徴 徵
畒 畝
羡 羨
暸 瞭
崘 崙
飰 飯
奶 嬭
懞 蒙
纇 颣
檳 梹
璵 玙
艣 櫓
帯 帶
竢 俟
烙 烙
遅 遲
嶔 崟
詧 察
劵 券
戛 戞
碪 砧
剁 刴
坯 壞
総 總
靚 靜
阨 厄
夘 卯
摒 屏
厖 龐
齏 韲
讙 歡
綳 繃
斈 學
愬 訴
桮 杯
搨 搭
麪 麵
聮 聯
沅 源
阯 址
桒 桑
菷 帚
泖 茅
綑 捆
嵆 嵇
嘩 譁
璡 琎
実 實
庿 廟
牴 觝
襃 褒
灔 灩
偹 備
彛 彝
籐 籘
酆 鄷
厶 私
菰 苽
罘 罦
珎 珍
仟 千
芘 蔽
辠 罪
粽 糭
蹻 蹺
炅 耿
倅 伜
焭 煢
厰 廠
譟 噪
篠 筿
晢 晰
殀 夭
瀁 漾
鑵 罐
剳 箚
昜 陽
燻 熏
磻 磻
氾 泛
聟 婿
讋 詟
窰 窯
篪 竾
捆 綑
絏 紲
僣 僭
玟 珉
艫 櫓
沍 冱
発 發
愨 慤
朶 朵
蠎 蟒
蠁 蚃
唉 誒
醼 燕
曽 曾
軿 輧
穅 糠
尪 尫
鱓 鱔
砲 炮
擄 擄
辢 辣
楂 查
燐 燐
韲 齏
敍 叙
匳 奩
頋 顧
贜 贓
廵 巡
牠 它
竸 競
酔 醉
卮 巵
昰 是
帡 帲
罗 囉
斍 覺
崟 嶔
贗 贋
糯 粫
垩 聖
琱 雕
騣 鬃
兎 兔
堇 菫
覉 羈
盇 盍
佰 百
瀬 瀨
翆 翠
罇 樽
縦 縱
胼 腁
紮 扎
転 轉
遟 遲
蟁 蚊
笆 巴
徠 來
懴 懺
逰 游
茭 椒
眙 瞪
嚻 囂
乇 虐
髪 髮
鋄 錽
譾 謭
虖 呼
荘 莊
臙 胭
髄 髓
扺 抵
獪 猾
媯 嬀
豊 豐
扐 朸
弍 二
仃 停
蓖 芘
銹 鏽
荽 萎
脬 胞
寜 寧
両 兩
甆 瓷
蓴 蒓
揎 拴
狢 貉
肐 胳
咯 詻
陏 隋
広 廣
恿 慂
舃 舄
貉 狢
鬭 鬥
椘 楚
訳 譯
儌 僥
槅 核
胳 肐
杠 槓
坫 店
篛 箬
筇 笻
亰 京
橦 幢
迬 往
慽 慼
跺 跥
鞌 鞍
戝 賊
螗 螳
録 錄
堺 界
弌 搋
丌 其
当 當
箝 钳
痲 痳
鹼 硷
傢 家
惷 蠢
湟 況
渕 淵
卐 卍
朂 勗
叁 參
飪 餁
挙 舉
俲 效
蜹 蚋
塈 墍
鄷 酆
刾 刺
繈 繦
衄 衂
済 濟
攅 攢
繃 綳
鳫 雁
裠 裙
孵 孚
潀 潨
欸 唉
郅 胝
斅 斆
鐡 鐵
炰 炮
冪 羃
仂 働
榘 矩
剙 創
辺 邊
碕 崎
嵳 嵯
膸 髓
耡 鋤
眘 愼
孼 孽
姢 娟
沲 沱
熔 鎔
凷 塊
仮 假
萆 蔽
隠 隱
嫺 嫻
衞 衛
蘀 萚
穭 穞
壳 殼
悤 匆
囲 圍
掏 搯
戯 戲
皼 鼓
陔 垓
査 查
厠 廁
慂 恿
櫽 檼
屭 屓
帬 裙
槻 規
絖 纊
挅 挆
璸 瑸
貭 質
搧 煽
裵 裴
黙 默
痳 痲
碥 扁
抜 拔
扱 插
畮 畝
緑 綠
婣 姻
汚 汙
籔 藪
靭 韌
胊 朐
鰌 鰍
凴 憑
樐 櫓
菇 苽
敓 敚
烖 災
溳 涢
龝 䆋
启 啓
駡 罵
闗 關
児 兒
夛 多
槙 槇
茈 柴
鬃 骔
彜 彝
曅 曄
筱 篠
叜 叟
礄 硚
縴 纤
濔 沵
冦 寇
錽 鋄
歓 歡
龢 和
艴 勃
卆 卒
餹 糖
砕 碎
焼 燒
餁 飪
塳 塜
楙 茂
澑 溜
朸 扐
枴 拐
娿 婀
橇 鞒
産 產
憖 慭
纎 纖
录 錄
覸 覵
彠 彟
冱 沍
覀 西
歳 歲
粛 肅
啔 啓
亷 廉
畍 界
鏽 銹
濇 澀
亝 齊
柆 拉
逥 回
嘑 呼
耇 耈
逩 奔
墫 樽
雑 雜
秐 耘
厳 嚴
骫 骪
泙 洴
螵 蜱
伲 你
硫 硫
尥 尦
耤 藉
懐 懷
髕 臏
梹 檳
搃 總
濚 溁
仼 任
凃 塗
勧 勸
濳 潛
埼 崎
髗 臚
漊 溇
岭 岺
洚 洪
嘓 啯
疉 疊
樿 椫
檼 櫽
苅 刈
巌 巖
亯 享
鵉 鸞
暦 曆
労 勞
菫 堇
斉 齊
翽 翙
圀 國
囯 國
亀 龜
晄 晃
櫥 櫉
幇 幫
鼄 蛛
盅 沖
沢 澤
藴 蘊
灎 灔
熺 熹
橢 楕
骵 體
朐 胊
礮 炮
甪 角
艽 韭
极 極
楜 胡
廃 廢
詻 咯
忰 悴
歩 步
鬰 鬱
暁 曉
兀 兀
韤 襪
坛 壇
嬝 裊
苺 莓
牦 犛
岺 岭
壊 壞
翄 翅
檘 蘗
増 增
伝 傳
揺 搖
勲 勛
賉 恤
蒍 蔿
驒 騨
昚 愼
貘 貊
絝 褲
癨 霍
嗀 嗀
槓 杠
誒 唉
崈 崇
浜 濱
垻 壩
騌 鬃
縂 總
潨 潀
鼅 蜘
丣 酉
襾 西
莵 菟
楳 梅
満 滿
菻 麻
聨 聯
噅 噕
崋 華
嗬 呵
澔 浩
擀 扞
阝 邑
鬦 鬥
働 仂
刂 刀
鼂 鼌
孶 孳
騺 驇
灧 灔
顔 顏
嬃 媭
躗 躛
瑅 珶
祘 算
糤 馓
籖 籤
竜 龍
燷 燣
脧 朘
迳 徑
壷 壺
凅 涸
揯 搄
釡 釜
貮 二
竾 篪
臕 膘
膘 臕
赱 走
踨 蹤
紥 紮
竃 灶
醖 醞
唷 唹
曵 曳
圧 壓
続 續
繍 繡
樳 桪
澙 潟
呉 吳
緼 縕
讆 讏
菋 苿
苿 菋
楕 橢
憅 慟
钂 镋
枀 松
讅 谉
丄 上
栄 榮
譲 讓
敿 敽
亓 其
龎 龐
嫐 喃
嚢 囊
艪 櫓
罶 羀
畄 留
沵 濔
楽 樂
朖 朗
旯 旭
濜 浕
卩 部
徺 僥
覵 覸
価 價
烉 煥
耈 耇
峺 硬
跥 跺
躱 躲
崠 岽
釖 劍
彲 彨
蓡 參
歺 歹
戼 卯
読 讀
彐 彑
为 為
产 產
伪 偽
净 淨
劢 勵
历 歷
厐 龐
厕 廁
叆 靉
叇 靆
发 發
啯 嘓
啰 囉
墙 牆
奖 奬
妫 媯
媭 嬃
岗 岡
庼 廎
廪 稟
彟 彠
彨 彲
悫 慤
慭 憖
敚 敓
敩 斅
桪 樳
椫 樿
殒 隕
汇 彙
沨 渢
涚 涗
涢 溳
湿 溼
溁 濚
溇 漊
滟 灔
玙 璵
琎 璡
瑸 璸
瘘 瘺
硚 礄
硵 磠
穞 穭
竖 豎
签 籤
筿 篠
篯 籛
纤 縴
线 線
绔 褲
绝 絕
绣 繡
绷 繃
绿 綠
缋 繪
缰 繮
翚 翬
脏 髒
舻 櫓
艳 豔
苎 蒙
获 穫
莼 蒓
萚 蘀
蕴 蘊
蚃 蠁
袅 嬝
褴 褓
襕 襴
詟 讋
讠 言
诃 呵
诶 唉
诸 諸
谉 讅
谣 謠
谫 謭
账 帳
贰 二
赝 贋
酝 醞
钅 金
钖 锡
钩 鉤
钳 箝
钵 缽
锈 鏽
锐 銳
镋 钂
闫 閻
阅 閱
阖 閤
雠 仇
鞒 橇
须 須
颓 頹
颜 顏
颣 纇
饥 飢
饮 飮
馈 餽
馓 糤
骂 罵
骔 鬃
髌 臏
鸡 雞
鼌 鼂
峀 岫
曡 疊
禥 祺
帰 歸
暋 忞
繿 襤
寕 寧
氽 尿
飠 食
彑 彐
