蝾 蠑
螀 螿
蟏 蠨
衔 銜
补 補
衬 襯
袅 裊
袆 褘
袭 襲
袯 襏
装 裝
裆 襠
裈 褌
裢 褳
裣 襝
裤 褲
裥 襇
褛 褸
褴 襤
见 見
观 觀
规 規
觅 覓
视 視
觇 覘
览 覽
觉 覺
觊 覬
觋 覡
觌 覿
觍 覥
觎 覦
觏 覯
觐 覲
觑 覷
觞 觴
觯 觶
訚 誾
誊 謄
讠 訁
计 計
订 訂
讣 訃
认 認
讥 譏
讦 訐
讧 訌
讨 討
让 讓
讪 訕
讫 訖
训 訓
议 議
讯 訊
记 記
讱 訒
讲 講
讳 諱
讴 謳
讵 詎
讶 訝
讷 訥
许 許
讹 訛
论 論
讻 訩
讼 訟
讽 諷
设 設
访 訪
诀 訣
证 證
诂 詁
诃 訶
评 評
诅 詛
识 識
诇 詗
诈 詐
诉 訴
诊 診
诋 詆
诌 謅
词 詞
诎 詘
诏 詔
诐 詖
译 譯
诒 詒
诓 誆
诔 誄
试 試
诖 詿
诗 詩
诘 詰
诙 詼
诚 誠
诛 誅
诜 詵
话 話
诞 誕
诟 詬
诠 詮
诡 詭
询 詢
诣 詣
诤 諍
该 該
详 詳
诧 詫
诨 諢
诩 詡
诪 譸
诫 誡
诬 誣
语 語
诮 誚
误 誤
诰 誥
诱 誘
诲 誨
诳 誑
说 說 説
诵 誦
诶 誒
请 請
诸 諸
诹 諏
诺 諾
读 讀
诼 諑
诽 誹
课 課
诿 諉
谀 諛
谁 誰
谂 諗
调 調
谄 諂
谅 諒
谆 諄
谇 誶
谈 談
谊 誼
谋 謀
谌 諶
谍 諜
谎 謊
谏 諫
谐 諧
谑 謔
谒 謁
谓 謂
谔 諤
谕 諭
谖 諼
谗 讒
谙 諳
谚 諺
谛 諦
谜 謎
谝 諞
谞 諝
谟 謨
谠 讜
谡 謖
谢 謝
谣 謡
谤 謗
谥 謚
谦 謙
谧 謐
谨 謹
谩 謾
谪 謫
谫 譾
谬 謬
谭 譚
谮 譖
谯 譙
谰 讕
谱 譜
谲 譎
谳 讞
谴 譴
谵 譫
谶 讖
豮 豶
贝 貝
贞 貞
负 負
贠 貟
贡 貢
财 財
责 責
贤 賢
败 敗
账 賬
货 貨
质 質
贩 販
贪 貪
贫 貧
贬 貶
购 購
贮 貯
贯 貫
贰 貳
贱 賤
贲 賁
贳 貰
贴 貼
贵 貴
贶 貺
贷 貸
贸 貿
费 費
贺 賀
贻 貽
贼 賊
贽 贄
贾 賈
贿 賄
赀 謫
赁 賃
赂 賂
赃 贓 贜
资 資
赅 賅
赆 贐
赇 賕
赈 賑
赉 賚
赊 賒
赋 賦
赌 賭
赍 賫 齎
赎 贖
赏 賞
赐 賜
赑 贔
赒 賙
赓 賡
赔 賠
赕 賧
赖 賴
赗 賵
赘 贅
赙 賻
赚 賺
赛 賽
赜 賾
赝 贗
赞 贊
