銍 铚
鮐 鲐
韌 韧
鯖 鲭
穭 稆
皸 皲
簹 筜
撣 掸
鉋 铇
縐 绉
鯷 鳀
蠑 蝾
鏈 链
謭 谫
鍰 锾
劌 刿
椏 桠
噹 当
厠 厕
嫵 妩
緦 缌
癧 疬
鑕 锧
櫞 橼
轀 辒
驁 骜
鷽 鸴
騂 骍
鯰 鲇 鲶
灕 漓
淶 涞
頮 颒
艙 舱
齜 龇
劚 㔉
饁 馌
漵 溆
緑 绿
倈 俫
剄 刭
殨 㱮
幗 帼
錩 锠
婭 娅
鮦 鲖
檯 台
嬸 婶
鈮 铌
飀 飗
鱧 鳢
繯 缳
鶘 鹕
𧩙 䜥
訩 讻
駡 骂
輬 辌
躒 跞
匭 匦
賵 赗
鸂 㶉
耬 耧
鄺 邝
痙 痉
鴰 鸹
鴇 鸨
濰 潍
鈄 钭
罈 坛
錨 锚
鏍 镙
崍 崃
錕 锟
産 产
喲 哟
鷳 鹇
鋙 铻
鳲 鸤
饃 馍
槤 梿
鋃 锒
嘽 啴
鋥 锃
駔 驵
彞 彝
鎢 钨
衕 同
鉈 铊
榿 桤
羋 芈
鄶 郐
鞽 鞒
鈃 钘
諢 诨
鰈 鲽
襏 袯
癮 瘾
鼴 鼹
稏 䅉
鏽 锈
瀇 㲿
魨 鲀
鷫 鹔
錆 锖
鋦 锔
鐧 锏
鶼 鹣
鐓 镦
蓯 苁
鵯 鹎
鯫 鲰
鰂 鲗
蕓 芸
訁 讠
撏 挦
鈰 铈
榪 杩
瘺 瘘
餾 馏
薟 莶
讕 谰
嗊 唝
髕 髌
緶 缏
鈀 钯
軹 轵
閆 闫
膃 腽
釷 钍
鯊 鲨
隉 陧
嬤 嬷
鮚 鲒
嘰 叽
窵 窎
鵪 鹌
鱒 鳟
錏 铔
俔 伣
輇 辁
顳 颞
鈉 钠
鈧 钪
錁 锞
堝 埚
餶 馉
尷 尴
鈣 钙
豶 豮
飿 饳
籪 簖
櫥 橱
櫫 橥
藴 蕴
駰 骃
鱘 鲟
橢 椭
燙 烫
鰣 鲥
鷊 鹝
綹 绺
鰱 鲢
釙 钋
縭 缡
虆 蔂
嶗 崂
騤 骙
鈳 钶
絅 䌹
鱯 鳠
騧 䯄
嘸 呒
醱 酦
躉 趸
餑 饽
驫 骉
鈑 钣
謅 诌
鈾 铀
挩 捝
饊 馓
擰 拧
錳 锰
鐦 锎
櫸 榉
鱭 鲚
衚 胡
蟈 蝈
鶊 鹒
埡 垭
鎝 𨱏
薘 荙
戧 戗
鋮 铖
鰾 鳔
鯿 鳊
潷 滗
𨦫 䦀
觶 觯
蠨 蟏
塒 埘
顬 颥
氫 氢
諞 谝
鷿 䴙
攆 撵
鎂 镁
檁 檩
鐳 镭
絝 绔
閌 闶
梘 枧
鈒 钑
䋙 䌺
鴯 鸸
誒 诶
鯛 鲷
軑 轪
鰺 鲹
颮 飑
錛 锛
襬 䙓
騌 骔
鯔 鲻
鉶 铏
鷈 䴘
噝 咝
瘮 瘆
䝼 䞍
鰭 鳍
燜 焖
玀 猡
鷚 鹨
鱖 鳜
颳 刮
腡 脶
鉻 铬
鎘 镉
埰 采
闆 板
垵 埯
嬡 嫒
躦 躜
櫧 槠
灧 滟
顔 颜
鯗 鲞
鐋 铴
鉭 钽
嗩 唢
驌 骕
驦 骦
撳 揿
熗 炝
瑲 玱
鉬 钼
蕒 荬
擼 撸
鯪 鲮
啢 唡
耮 耢
鑭 镧
餃 饺
燴 烩
琿 珲
鰒 鳆
韍 韨
鰟 鳑
釩 钒
琺 珐
鮞 鲕
鋨 锇
銩 铥
壋 垱
鈽 钸
鋇 钡
鎊 镑
璦 瑷
𧝞 䘛
諑 诼
驏 骣
醖 酝
榲 榅
銦 铟
鰩 鳐
噚 㖊
澩 泶
鮝 鲞
鰷 鲦
覥 觍
屜 屉
銻 锑
錟 锬
鈦 钛
賰 䞐
鸘 鹴
銫 铯
譅 䜧
銣 铷
嗆 呛
鏷 镤
龎 厐
檸 柠
鎳 镍
薴 苧
鍆 钔
禡 祃
獁 犸
嘜 唛
鋝 锊
襝 裣
褳 裢
壢 坜
灠 漤
棶 梾
銬 铐
