SD-A6AE,􄚮,he,he,𑖮𑖸
SD-A6AF,􄚯,hai,hai,𑖮𑖹
SD-A6B0,􄚰,ho,ho,𑖮𑖺
SD-A6B1,􄚱,hau,hau,𑖮𑖻
SD-A6B2,􄚲,haṃ,ha.m,𑖮𑖽
SD-A6B3,􄚳,haḥ,ha.h,𑖮𑖾
SD-A848,􄡈,nya,nya,
SD-A849,􄡉,nyā,nyaa,
SD-A84C,􄡌,nyu,nyu,
SD-A84E,􄡎,nye,nye,
SD-A852,􄡒,nyaṃ,nya.m,
SD-CBA7,􆮧,kṛ,k.r,𑖎𑖴
SD-CBA9,􆮩,gṛ,g.r,𑖐𑖴
SD-CBAA,􆮪,ghṛ,gh.r,𑖑𑖴
SD-CBAB,􆮫,ṅṛ,^n.r,𑖒𑖴
SD-CBAC,􆮬,cṛ,c.r,𑖓𑖴
SD-CBC3,􆯃,jṛ,j.r,𑖕𑖴
SD-CBC5,􆯅,jṛṃ,j.r.m,𑖕𑖴𑖽
SD-CBC7,􆯇,jhṛ,jh.r,𑖖𑖴
SD-CBCB,􆯋,ñṛ,~n.r,𑖗𑖴
SD-CBE3,􆯣,tṛ,t.r,𑖝𑖴
SD-CBE5,􆯥,tṛṃ,t.r.m,𑖝𑖴𑖽
SD-CBEB,􆯫,dṛ,d.r,𑖟𑖴
SD-CBEF,􆯯,dhṛ,dh.r,𑖠𑖴
SD-CBF3,􆯳,nṛ,n.r,𑖡𑖴
SD-CBF7,􆯷,pṛ,p.r,𑖢𑖴
SD-CC40,􆱀,bṛ,b.r,𑖤𑖴
SD-CC44,􆱄,bhṛ,bh.r,𑖥𑖴
SD-CC46,􆱆,bhṛṃ,bh.r.m,𑖥𑖴𑖽
SD-CC48,􆱈,mṛ,m.r,𑖦𑖴
SD-CC49,􆱉,mṝ,m.rr,𑖦𑖵
SD-CC4C,􆱌,yṛ,y.r,𑖧𑖴
SD-CC58,􆱘,vṛ,v.r,𑖪𑖴
SD-CC5C,􆱜,śṛ,`s.r,𑖫𑖴
SD-CC60,􆱠,ṣṛ,.s.r,𑖬𑖴
SD-CC62,􆱢,ṣṛṃ,.s.r.m,𑖬𑖴𑖽
SD-CC64,􆱤,sṛ,s.r,𑖭𑖴
SD-CC65,􆱥,sṝ,s.rr,𑖭𑖵
SD-CC68,􆱨,hṛ,h.r,𑖮𑖴
SD-CC6A,􆱪,hṛṃ,h.r.m,𑖮𑖴𑖽
SD-CECC,􆻌,sha,sha,
SD-CF55,􆽕,tta,tta,
SD-CF56,􆽖,ttā,ttaa,
SD-CF57,􆽗,tti,tti,
SD-CF58,􆽘,ttī,ttii,
SD-CF5A,􆽚,ttū,ttuu,
SD-CF5B,􆽛,tte,tte,
SD-CF5C,􆽜,ttai,ttai,
SD-CF5D,􆽝,tto,tto,
SD-CF5F,􆽟,ttaṃ,tta.m,
SD-CFA7,􆾧,nna,nna,
SD-CFA8,􆾨,nnā,nnaa,
SD-CFA9,􆾩,nni,nni,
SD-CFAD,􆾭,nne,nne,
SD-CFB2,􆾲,nnaḥ,nna.h,
SD-CFC1,􆿁,hūṃ,huu.m,𑖮𑖳𑖽
SD-CFC5,􆿅,a,a,𑖀
SD-CFC6,􆿆,ā,aa,𑖁
SD-CFC7,􆿇,i,i,𑖂
SD-CFC8,􆿈,ī,ii,𑖃
SD-CFC9,􆿉,u,u,𑖄
SD-CFCA,􆿊,ū,uu,𑖅
SD-CFCB,􆿋,ṛ,.r,𑖆
SD-CFCC,􆿌,ṝ,.rr,𑖇
SD-CFCD,􆿍,ḷ,.l,𑖈
SD-CFCE,􆿎,ḹ,.ll,𑖉
SD-CFCF,􆿏,e,e,𑖊
SD-CFD0,􆿐,ai,ai,𑖋
SD-CFD1,􆿑,o,o,𑖌
SD-CFD2,􆿒,au,au,𑖍
SD-CFD3,􆿓,aṃ,a.m,𑖀𑖽
SD-CFD4,􆿔,aḥ,a.h,𑖀𑖾
SD-D0DF,􇃟,ta,ta,𑖝
SD-D0F3,􇃳,a,a,𑖀
SD-D140,􇅀,o,o,𑖌
SD-D141,􇅁,au,au,𑖍
SD-D167,􇅧,a,a,𑖀
SD-D1B8,􇆸,sa,sa,𑖭
SD-D1DB,􇇛,ta,ta,𑖝
SD-D1F0,􇇰,ā,aa,𑖁
SD-D1F3,􇇳,u,u,𑗛
SD-D1F4,􇇴,ū,uu,𑖅
SD-D5B5,􇖵,,,𑗁
SD-D5F1,􇗱,ā,aa,𑖁
SD-D5F5,􇗵,i,i,𑗚
SD-D5F8,􇗸,i,i,𑗙
SD-D5FA,􇗺,ī,ii,𑖃
SD-D5FC,􇗼,ī,ii,𑗚
SD-D64E,􇙎,o,o,𑖌
SD-D650,􇙐,au,au,𑖍
SD-D657,􇙗,ṅa,^na,𑖒
SD-D663,􇙣,ḍha,.dha,𑖛
SD-D667,􇙧,ṇa,.na,𑖜
SD-D676,􇙶,ī,ii,𑖃
SD-D8D7,􇣗,a,a,𑖀
SD-D950,􇥐,,,𑗊
SD-D953,􇥓,,,⋯
SD-D957,􇥗,,,𑗆
SD-D959,􇥙,,,𑗂
SD-D9F9,􇧹,ddha,ddha,
SD-D9FA,􇧺,ddhā,ddhaa,
SD-D9FB,􇧻,ddhi,ddhi,
SD-D9FC,􇧼,ddhe,ddhe,
SD-DA42,􇩂,oṃ,o.m,𑖌𑖽
SD-DA4D,􇩍,tte,tte,
SD-DA74,􇩴,hūṃ,huu.m,𑖮𑖳𑖽
SD-DA78,􇩸,mṛ,m.r,𑖦𑖴
SD-DAAD,􇪭,ddhaṃ,ddha.m,
SD-E040,􈁀,nāṃ,naa.m,𑖡𑖯𑖽
SD-E042,􈁂,pū,puu,𑖢𑖳
SD-E043,􈁃,mu,mu,𑖦𑖲
SD-E045,􈁅,hāṃ,haa.m,𑖮𑖯𑖽
SD-E04E,􈁎,tuṃ,tu.m,𑖝𑖲𑖽
SD-E04F,􈁏,ddheḥ,ddhe.h,𑖛𑖸𑖾
SD-E051,􈁑,ṇiṃ,.ni.m,𑖜𑖰𑖽
SD-E056,􈁖,liḥ,li.h,𑖩𑖰𑖾
SD-E057,􈁗,tiṃ,ti.m,𑖝𑖰𑖽
SD-E05A,􈁚,saṃ,sa.m,𑖭𑖽
SD-E05B,􈁛,tāḥ,taa.h,𑖝𑖯𑖾
SD-E05C,􈁜,ddhāḥ,ddhaa.h,
SD-E05D,􈁝,māṃ,maa.m,𑖦𑖯𑖽
SD-E05F,􈁟,hoḥ,ho.h,𑖮𑖺𑖾
SD-E060,􈁠,huṃ,hu.m,𑖮𑖲𑖽
SD-E063,􈁣,bhiṃ,bhi.m,𑖥𑖰𑖽
SD-E064,􈁤,ṣiṃ,.si.m,𑖬𑖰𑖽
SD-E065,􈁥,ṭuṃ,.tu.m,𑖘𑖲𑖽
SD-E069,􈁩,yāṃ,yaa.m,𑖧𑖯𑖽
SD-E06A,􈁪,rāḥ,raa.h,𑖨𑖯𑖾
SD-E06B,􈁫,vāḥ,vaa.h,𑖪𑖯𑖾
SD-E070,􈁰,ṇaṃ,.na.m,𑖜𑖽
SD-E072,􈁲,gāṃ,gaa.m,𑖐𑖯𑖽
SD-E074,􈁴,oṃ,o.m,𑖌𑖼
SD-E077,􈁷,gī,gii,𑖐𑖱
SD-E078,􈁸,gīḥ,gii.h,𑖐𑖱𑖾
SD-E079,􈁹,dīḥ,dii.h,𑖟𑖱𑖾
SD-E07B,􈁻,śīḥ,`sii.h,𑖫𑖱𑖾
SD-E07C,􈁼,ri,ri,𑖨𑖰
SD-E07E,􈁾,bhiḥ,bhi.h,𑖥𑖰𑖾
SD-E0A1,􈂡,yaiḥ,yai.h,𑖧𑖹𑖾
SD-E0A2,􈂢,nū,nuu,𑖡𑖳
SD-E0A7,􈂧,ddhiṃ,ddhi.m,𑖛𑖰𑖽
SD-E0A8,􈂨,muḥ,mu.h,𑖦𑖲𑖾
SD-E0A9,􈂩,tāṃ,taa.m,𑖝𑖯𑖽
SD-E0AA,􈂪,hu,hu,𑖮𑖲
SD-E0AC,􈂬,viḥ,vi.h,𑖪𑖰𑖾
SD-E0AD,􈂭,suḥ,su.h,𑖭𑖲𑖾
SD-E0B0,􈂰,ddhāṃ,ddhaa.m,
SD-E0B1,􈂱,suṃ,su.m,𑖭𑖲𑖽
SD-E0B6,􈂶,liṃ,li.m,𑖩𑖰𑖽
SD-E0B8,􈂸,piṃ,pi.m,𑖢𑖰𑖽
SD-E0BA,􈂺,cuṃ,cu.m,𑖓𑖲𑖽
SD-E0BC,􈂼,su,su,𑖭𑖲
SD-E0BE,􈂾,kāṃ,kaa.m,𑖎𑖯𑖽
SD-E0BF,􈂿,loṃ,lo.m,𑖩𑖺𑖽
SD-E0C0,􈃀,nuṃ,nu.m,𑖡𑖲𑖽
SD-E0C1,􈃁,dhu,dhu,𑖠𑖲
SD-E0C2,􈃂,ḍo,.do,𑖚𑖺
SD-E0C4,􈃄,ṇāṃ,.naa.m,𑖜𑖯𑖽
SD-E0C5,􈃅,lāṃ,laa.m,𑖩𑖯𑖽
SD-E0C6,􈃆,ghṛ,gh.r,𑖑𑖴
SD-E0C8,􈃈,gṛ,g.r,𑖐𑖴
SD-E0C9,􈃉,bhuḥ,bhu.h,𑖥𑖲𑖾
SD-E0CF,􈃏,ṇīṃ,.nii.m,𑖜𑖱𑖽
SD-E0D0,􈃐,viṃ,vi.m,𑖪𑖰𑖽
SD-E0D1,􈃑,rāṃ,raa.m,𑖨𑖯𑖽
SD-E0D3,􈃓,ṭīṃ,.tii.m,𑖘𑖱𑖽
SD-E0D5,􈃕,lāḥ,laa.h,𑖩𑖯𑖾
SD-E0D6,􈃖,riḥ,ri.h,𑖨𑖰𑖾
SD-E0D7,􈃗,liṃ,li.m,𑖩𑖰𑖽
SD-E0D8,􈃘,nāḥ,naa.h,𑖡𑖯𑖾
SD-E0DB,􈃛,hiṃ,hi.m,𑖮𑖰𑖽
SD-E0DD,􈃝,bheṃ,bhe.m,𑖥𑖸𑖽
SD-E0E2,􈃢,teḥ,te.h,𑖝𑖸𑖾
SD-E0E3,􈃣,ghiṃ,ghi.m,𑖑𑖰𑖽
SD-E0EC,􈃬,sīṃ,sii.m,𑖭𑖱𑖽
SD-E0EE,􈃮,kuṃ,ku.m,𑖎𑖲𑖽
SD-E0F2,􈃲,ju,ju,𑖕𑖲
SD-E0F3,􈃳,sū,suu,𑖭𑖳
SD-E0F7,􈃷,yuḥ,yu.h,𑖧𑖲𑖾
SD-E0F9,􈃹,,,𑗋
SD-E0FC,􈃼,puṃ,pu.m,𑖢𑖲𑖽
SD-E0FD,􈃽,māṃ,maa.m,𑖦𑖯𑖽
SD-E143,􈅃,siṃ,si.m,𑖭𑖰𑖽
SD-E151,􈅑,tiḥ,ti.h,𑖝𑖰𑖾
SD-E158,􈅘,jeṃ,je.m,𑖕𑖸𑖽
SD-E15E,􈅞,luṃ,lu.m,𑖩𑖲𑖽
SD-E161,􈅡,ha,ha,𑖮
SD-E168,􈅨,sū,suu,𑖭𑖳
SD-E16E,􈅮,śāṃ,`saa.m,𑖫𑖯𑖽
SD-E177,􈅷,dhā,dhaa,𑖠𑖯
SD-E17A,􈅺,aḥ,a.h,𑖀𑖾
SD-E17C,􈅼,hūṃ,huu.m,𑖮𑖳𑖽
SD-E1A1,􈆡,kiṃ,ki.m,𑖎𑖰𑖽
SD-E1A5,􈆥,bhūḥ,bhuu.h,𑖥𑖳𑖾
SD-E1A9,􈆩,nīḥ,nii.h,𑖡𑖱𑖾
SD-E1AC,􈆬,ko,ko,𑖎𑖺
SD-E1AD,􈆭,huṃ,hu.m,𑖮𑖲𑖽
SD-E1AF,􈆯,vaṃ,va.m,𑖪𑖽
SD-E1B0,􈆰,aṃ,a.m,𑖀𑖽
SD-E1B1,􈆱,hū,huu,𑖮𑖳
SD-E1B4,􈆴,dhū,dhuu,𑖠𑖳
SD-E1B9,􈆹,khaṃ,kha.m,𑖏𑖼
SD-E1BB,􈆻,haṃ,ha.m,𑖮𑖼
SD-E1BC,􈆼,kaṃ,ka.m,𑖎𑖼
SD-E1BE,􈆾,maṃ,ma.m,𑖦𑖼
