U+243B5 𤎵 ⿱𣦃火
U+38C7 㣇 ⿳彑⿰㇓㇓巾
U+2000E 𠀎 ⿱井一
U+20DAC 𠶬 ⿱吅⿱一龷
U+202AF 𠊯 ⿰亻⿳穴𠆢又
U+27DF7 𧷷 ⿳㞢囧貝
U+230CF 𣃏 ⿰盡斤
U+2669F 𦚟 ⿰月𦣝
U+21673 𡙳 ⿰㚔⿹勹手
U+27B2F 𧬯 ⿰訁⿱𡨄巳
U+22626 𢘦 ⿰忄叏
U+211E1 𡇡 ⿴囗𥃦
U+2BB9B 𫮛 ⿱埶土
U+2CF93 𬾓 ⿰亻䖝
U+441C 䐜 ⿰月真
U+8181 膁 ⿰月兼
U+29092 𩂒 ⿱雨⿸厂巳
U+26651 𦙑 ⿱勿月
U+28D12 𨴒 ⿵門㓞
U+4A9C 䪜 ⿰韋詹
U+4A73 䩳 ⿰革叜
U+2D17D 𭅽 ⿰多即
U+2E6A8 𮚨 ⿳亡罒⿲月貝乚
U+226A2 𢚢 ⿱改心
U+3807 㠇 ⿱山就
U+577D 坽 ⿰土令
U+73AA 玪 ⿰𤣩今
U+2EACF 𮫏 ⿱髟⿱罒⿱一𧘇
U+4B40 䭀 ⿰飠迅
U+2DFDF 𭿟 ⿰目臯
U+4358 䍘 ⿱罒米
U+20048 𠁈 ⿱丅⿵𠘨⿱平口
U+21540 𡕀 ⿱士⿵𠘨⿱車灬
U+21508 𡔈 ⿳⿱一八⿵𠘨賏土
U+883A 蠺 ⿳𭑈日䖵
U+20843 𠡃 ⿰力左
U+25A63 𥩣 ⿰立主
U+267C4 𦟄 ⿰月桑
U+2C658 𬙘 ⿱罒于
U+29CE6 𩳦 ⿺鬼知
U+3FE5 㿥 ⿰白隺
U+290B8 𩂸 ⿱雨沉
U+41CE 䇎 ⿰立昔
U+266CB 𦛋 ⿰月吉
U+4C1B 䰛 ⿰鬲瓦
U+2D8E9 𭣩 ⿰出攵
U+20271 𠉱 ⿰亻房
U+2A5E1 𪗡 ⿰齒攴
U+2578F 𥞏 ⿰禾兄
U+2DFE2 𭿢 ⿰目鼓
U+2EA37 𮨷 ⿰飠工
U+24249 𤉉 ⿱利灬
U+2B1F2 𫇲 ⿳艹𠆢土
U+22D78 𢵸 ⿰扌集
U+2618A 𦆊 ⿰糹⿳旧一里
U+2AB67 𪭧 ⿰扌尔
U+23D81 𣶁 ⿰沐片
U+3CCA 㳊 ⿰氵攵
U+20C5C 𠱜 ⿰口存
U+26F14 𦼔 ⿱艹尞
U+25A9B 𥪛 ⿱政立
U+2BB18 𫬘 ⿰口罷
U+20615 𠘕 ⿰冫熙
U+4768 䝨 ⿱𰀡貝
U+27427 𧐧 ⿱𡗗䖵
U+24A01 𤨁 ⿰𤣩晋
U+28E55 𨹕 ⿰阝⿱宀巳
U+212D3 𡋓 ⿰土邜
U+27454 𧑔 ⿰虫逮
U+2AF0F 𪼏 ⿰𤣩桑
U+2AD69 𪵩 ⿰氵下
U+2EB9C 𮮜 ⿱⿰音里灬
U+2051A 𠔚 ⿳亠厶共
U+7A01 稁 ⿳⿱亠口冖禾
U+26694 𦚔 ⿰月召
U+8111 脑 ⿰月㐫
U+4F24 伤 ⿰亻⿱𠂉力
U+27C32 𧰲 ⿱彑豕
U+5BBD 宽 ⿱宀苋
U+21FA4 𡾤 ⿳山辟子
U+2B226 𫈦 ⿳艹𠔿戊
U+23CDE 𣳞 ⿰氵⿱冖⿻几一
U+2BEDA 𫻚 ⿱㱅心
U+2B575 𫕵 ⿱雨澤
U+2D951 𭥑 ⿰日夕
U+2B49D 𫒝 ⿰釒更
U+2B4A9 𫒩 ⿰釒奉
U+4D91 䶑 ⿰鼻𤴡
U+277AA 𧞪 ⿰衤巤
U+2D5DC 𭗜 ⿱山絶
U+29C85 𩲅 ⿺鬼寸
U+2D2DE 𭋞 ⿰口榜
U+2B97F 𫥿 ⿰交刀
U+2BA9C 𫪜 ⿰口芩
U+9D91 鶑 ⿱炏鳥
U+6255 払 ⿰扌厶
U+2D582 𭖂 ⿰山于
U+2DD66 𭵦 ⿳林冖火
U+20007 𠀇 ⿱𠔼一
U+868E 蚎 ⿰虫日
U+265B9 𦖹 ⿰耳𤇘
U+2E4B3 𮒳 ⿱艹旙
U+2BD72 𫵲 ⿱山丁
U+22D01 𢴁 ⿰扌𦰩
U+204E1 𠓡 ⿱入亓
U+29380 𩎀 ⿰革蹇
U+2978C 𩞌 ⿱欶食
U+239B1 𣦱 ⿱䜌止
U+20B1E 𠬞 ⿰丩又
