tǔn tun3
huán huán
nù nù
gǔn gǔn
líng líng
biào biào
zhèng zhèng
cuàn cuàn
gèng gèng
gě gě
qú qú
bèng bèng
tān tān
xiǎ xiǎ
shǎi shǎi
kū kū
rù rù
qiáng qiáng
men men
huài huài
huó huó
rǒu rǒu
zhōu zhōu
púsà púsà
yuǎn yuǎn
shuāi shuāi
nī nī
děng děng
táng táng
nín nín
shuí shuí
cún cún
jiao jiao
dǒu dǒu
rén rén
wén wén
mèng mèng
niǎn niǎn
bī bī
dí dí
chāng chāng
pòu pòu
chēng chēng
chǔ chǔ
dǐng dǐng
pōu pōu
yǐng yǐng
yùn yùn
shùn shùn
nòng nòng
xī xī
sà sà
lē lē
tun tun
chòu chòu
jiōng jiōng
nuó nuó
yǔn yǔn
liǎn liǎn
chān chān
mā mā
luǒ luǒ
xiǎng xiǎng
miāo miāo
qian qian
shǎn shǎn
jù jù
qī qī
gāo gāo
duàn duàn
qué qué
nún nún
chí chí
shóu shóu
xù xù
yàn yàn
èr èr
huí huí
cōng cōng
fán fán
kà kà
dǎn dǎn
cè cè
dōng dōng
chī chī
guǎn guǎn
wa wa
fèi fèi
guān guān
wán wán
lūn lūn
chuáng chuáng
chén chén
ó ó
pǒ pǒ
yǎn yǎn
gōng gōng
kǎn kǎn
chūn chūn
fēnbù fēnbù
cāng cāng
hǎ hǎ
mén mén
bēn bēn
réng réng
mèn mèn
zé zé
biè biè
yě yě
yún yún
xín xín
nuǎn nuǎn
mōu mōu
pèng pèng
yǔ yǔ
xīn xīn
chè chè
diǎn diǎn
piāo piāo
ǎ ǎ
suǎn suǎn
liáo liáo
fèn fèn
kāi kāi
gǎ gǎ
xi xi
lá lá
pìng pìng
wò wò
án án
tǎ tǎ
biě biě
guāi guāi
hèn hèn
huái huái
zuàn zuàn
jiàn jiàn
dù dù
yāo yāo
cèi cèi
bai bai
cēn cēn
cǎn cǎn
gú gú
qiē qiē
zhǔ zhǔ
qíng qíng
kùn kùn
wú wú
chuāng chuāng
fěn fěn
jìn jìn
qiě qiě
chà chà
piān piān
tá tá
guàn guàn
gěng gěng
xūn xūn
dǎi dǎi
niào niào
guo guo
luō luō
nùn nùn
nàng nàng
xié xié
bǎng bǎng
guì guì
