#CB编号, 通用字, 原字, 組合表示式
CB24035,砥,䂡,[石*丘]                                   
CB24052,,䃸,[石*韱]                                   
CB24108,灶,,[穴/黽]                                   
CB24659,臺,,[高/土]                                   
CB25075,拶,,[打-丁+乍]                                 
CB25081,,𢬩,[打-丁+伐]                                 
CB25107,抽,,[打-丁+留]                                 
CB25197,刈,,[利-禾+叉]                                 
CB25408,,𣳪,[泳-永+吏]                                 
CB25451,深,,[泳-永+冞]                                 
CB25465,泥,,[泥-匕+工]                                 
CB25574,槁,,[亭-丁+呆]                                 
CB25600,魚,,[美-王+田]                                 
CB25609,差,,[差-工+匕]                                 
CB25812,苦,,[賁-貝+口]                                 
CB25913,致,,[敲-高+至]                                 
CB26018,歸,,[題-頁+帚]                                 
CB26210,哉,,[(十/万)*弋]                               
CB27104,縛,,[糸*(十/田/寸)]                             
CB27736,抱,𢫎,[打-丁+(色-巴+巳)]                           
CB27771,突,,[宋-木+(乏-之+犮)]                           
CB27941,奪,,[((嘹-口)-小)-日+集]                         
CB27980,奐,,[色-巴+(罩-卓+犮)]                           
CB27999,彝,,[(雪-雨)/(米*糸)/廾]                         
CB28002,皺,,[(((巨-匚)@一)/((巨-匚)@十))*皮]               
CB28453,再,,[采-木+(冉-土+(┴/十))]                       
CB28457,陷,𨺻,[阿-可+(采-木+(〡*日))]                       
CB28896,,𢅴,[巾*瞢]                                   
CB28898,曳,,[曳*、]                                   
CB28899,讕,𧬘,[言*間]                                   
CB28900,底,㡳,[序-予+氏]                                 
CB28902,旎,,[旎-匕+工]                                 
CB28904,頓,,[頓-凵+一]                                 
CB28906,師,,[師-(白-日)]                               
CB28913,鬢,,[肆-聿+((彰-章)/(實-毌+(眉-目)))]               
CB28916,,䡒,[車*田]                                   
CB28917,,䀝,[目*比]                                   
CB28920,,𨳒,[門@小]                                   
CB28921,,𤨊,[王*奚]                                   
CB28922,,𢖏,[彳*賣]                                   
CB28923,屧,𡲕,[屐-支+(尤-尢+曳)]                           
CB28924,,䃃,[石*罔]                                   
CB28925,突,𥤮,[穴/大]                                   
CB28928,酬,𨠩,[酉/州]                                   
CB28929,,𪅖,[舂*鳥]                                   
CB28931,旨,,[乞-乙+日]                                 
CB28932,虔,,[皮-(〡/又)+(王/ㄆ)]                         
CB28933,虛,,[皮-(〡/又)+(並-(前-刖)+王)]                   
CB28935,歷,𢊆,[序-予+秝]                                 
CB28937,裡,𥚃,[社-土+里]                                 
CB28938,參,,[畚-田+小]                                 
CB28939,御,,[御-止+山]                                 
CB28941,據,㩀,[據-豕+匆]                                 
CB28944,糶,𥽀,[糶-羽]                                   
CB28950,禍,𥚟,[禍-咼+(向-口+古)]                           
CB28952,韆,,[革*(這-言+千)]                             
CB28953,樁,,[樁-臼+(〡*日)]                             
CB28954,鋩,,[鋩-卄+(前-刖)]                             
CB28956,柴,,[(止/木)*(弋-、)]                           
CB28959,閻,𨵻,[門@(采-木+(〡*日))]                         
CB28962,搊,𢬆,[掐-臼+丑]                                 
CB28966,齁,,[(鼻-丌+十)*勾]                             
CB28967,雙,,[准/ㄆ]                                   
CB28969,韻,,[韻-口+ㄙ]                                 
CB28971,盧,,[盧-(├/七)+王]                             
CB28973,歲,𡻕,[山/(戊@示)]                               
CB28975,畫,,[尺/(且-二+人)]                             
CB28976,肯,,[(心-(白-日))/月]                           
CB28978,興,㒷,[具-三+人]                                 
CB28979,坐,,[咒-几+土]                                 
CB28981,諕,𧫒,[詫-乇+卒]                                 
CB28983,惱,𢚰,[惱-囟+凶]                                 
CB29153,鶚,,[惡*鳥]                                   
CB29297,摑,,[摑-或+王]                                 
CB29314,縵,,[縵-又+万]                                 
CB29427,絪,,[糸*(卣-├)]                               
CB29752,伅,,[仁-二+(扥-(打-丁))]                         
CB29753,凳,,[登*几]                                   
CB29756,跋,,[跳-兆+(乏-之+(犮-乂+又))]                     
CB29758,顯,𩔰,[(並-(前-刖)+旦)*頁]                         
CB29759,,𨒾,[道-自+巾]                                 
CB29760,憩,,[懖-金+白]                                 
CB29762,垂,,[乖/一]                                   
CB29763,宿,𪧐,[宿-百+白]                                 
CB29765,被,,[社-土+皮]                                 
CB29766,脫,,[脫-兄+允]                                 
CB29767,互,,[一/(ㄠ-、)]                               
CB29768,潛,,[涾-水+(天*天)]                             
CB29769,雖,𨿽,[雖-口+ㄙ]                                 
CB29770,憀,𣽓,[憀-(彰-章)+(恭-共)]                         
CB29771,履,,[尸@((冰-水+〡)*复)]                         
CB29772,倏,,[彳*〡*(ㄆ/火)]                             
CB29774,攬,,[攬-(罩-卓)+一]                             
CB29775,鑒,,[鑒-(罩-卓)+一]                             
CB29776,蘇,,[蘇-(烈-列)+大]                             
CB29780,窈,,[窈-力+刀]                                 
CB29781,覆,,[霑-占+复]                                 
CB29783,稽,,[(禾*丸)/〦/日]                             
CB29784,擅,,[打-丁+(面/(且-二+三))]                       
CB29785,擅,,[打-丁+((百-日+回)/(且-二+三))]                 
CB29786,蔓,,[草-十+(万-一+皿)]                           
CB29787,虎,,[皮-(〡*又)+(王/巾)]                         
CB29788,祇,,[尤-尢+祇]                                 
CB29789,,𤇱,[火*(巢-果+山)]                             
CB29791,飄,,[飄-示+土]                                 
CB29792,詐,,[訖-乙+上]                                 
CB29793,縱,,[糸*(彳*(前-刖+(之-、)))]                     
CB29794,墯,,[墯-工]                                   
CB29795,止,,[心-(白-日)]                               
CB29796,儐,,[佇-丁+(尸@貝)]                             
CB29797,簁,,[竺-二+(彳*(光-儿+(之-、)))]                   
CB29798,總,,[悊-斤+勿]                                 
CB29801,憩,𢠾,[懖-金+自]                                 
CB29802,,𩜵,[飢-几+耑]                                 
CB29803,符,,[前-刖+付]                                 
CB29805,幡,,[幡-釆+米]                                 
CB29806,鬼,,[鬼-(白-日)]                               
CB29808,襪,,[革*(篾-戍+(冗-几+伐))]                       
CB29809,翻,,[(米/田)*(飛-升)]                           
CB29810,涅,𣵀,[涅-土+工]                                 
CB29812,事,㕝,[古/又]                                   
CB29815,嗅,,[(鼻-丌+大)*(自/大)]                         
CB29817,偃,,[攸-ㄆ+匽]                                 
CB29819,稽,,[稽-匕+〦]                                 
CB29820,琉,,[王*(堊-王+田)]                             
CB29821,鷇,,[穀-(一/禾)+卯]                             
CB29822,苑,,[蕵-食+巳]                                 
CB29823,審,,[審-釆+米]                                 
CB29825,憡,𢙀,[怡-台+朿]                                 
CB29826,乖,,[垂-┴+十]                                 
CB29827,色,,[刀/巴]                                   
CB29829,鍵,,[金*疌]                                   
CB29832,,𢟷,[憐-舛+田]                                 
CB29833,饜,𤹍,[病-丙+能]                                 
CB29834,,𣺦,[泳-永+隻]                                 
CB29840,,𠯅,[口*弋]                                   
CB29841,看,,[采-木+(孝-子+目)]                           
CB29842,侵,,[彳*〡*(唚-口)]                             
CB29843,脩,,[脩-(仁-二)+彳]                             
CB29844,看,,[采-木+者]                                 
CB29846,,𤎼,[就/火]                                   
CB29847,拔,,[托-七+(犮-乂+又)]                           
CB29848,從,,[仁-二+(前-刖+之)]                           
CB29853,釋,𥸩,[米*又]                                   
CB29855,實,,[宋-木+失]                                 
CB29856,塵,,[少/土]                                   
CB29859,印,,[(馬-十)-(烈-列)+〡]                         
CB29860,翻,,[(米/田)*(匕-一+二)]                         
CB29861,彌,㢱,[強-虫+小]                                 
CB29862,圖,,[ㄙ/(友-又)/回]                             
CB29863,盲,,[立/目]                                   
CB29865,忘,,[立/心]                                   
CB29866,涼,,[涼-口+日]                                 
CB29873,歟,,[(焉-正)*欠]                               
CB29874,雜,,[新-斤+隹]                                 
CB29875,,𨁯,[跳-兆+赤]                                 
CB29876,險,,[除-小+人]                                 
CB29877,據,,[挺-壬+几]                                 
CB29878,冥,,[罕-干+具]                                 
CB29879,實,,[宋-木+夫]                                 
CB29883,,𡚳,[女*土]                                   
CB29884,至,,[ㄙ/土]                                   
CB29887,亡,,[、/工]                                   
CB29889,釋,,[釆*又]                                   
CB29890,鑯,𨯒,[金*(哉-口+韭)]                             
CB29893,寫,,[寫-臼+(〡*日)]                             
CB29896,晷,,[(晷-人)*卜]                               
CB29897,鬘,,[肆-聿+((彰-章)/(罩-卓+方))]                   
CB29899,珍,,[珆-口+小]                                 
CB29900,摠,,[(牛*公)/心]                               
CB29901,驗,,[馬*(企-止+天)]                             
CB29906,寫,,[寫-臼+田]                                 
CB29908,崇,,[常-吊+示]                                 
CB29912,引,,[方*(丁-一)]                               
CB29913,寂,,[穴/(夕*(十/下))]                           
CB29915,葉,,[前-刖+((世-廿+卄)/木)]                       
CB29916,讚,,[讚-兟+(天*天)]                             
CB29917,聲,,[土/巴]                                   
CB29918,著,,[前-刖+者]                                 
CB29919,滅,,[滅-火+大]                                 
CB29920,勢,㔟,[勢-坴+生]                                 
CB29921,權,,[拱-八+隹]                                 
CB29922,弘,,[方*ㄙ]                                   
CB29923,強,,[強-弓+方]                                 
CB29924,含,,[合-一+(采-木)]                             
CB29925,麤,,[色-巴+((廉-(前-刖))-一)]                     
CB29927,熱,,[(生*丸)/火]                               
CB29928,契,,[(生*刃)/廾]                               
CB29929,汙,𣲇,[泳-永+亍]                                 
CB29931,疏,,[至-土+(荒-芒)]                             
CB29932,奧,,[(奧-(白-日)+├)-釆+米]                       
CB29933,戲,,[(皮-(〡/又)+(並-(前-刖)+王))*戈]               
CB29934,戲,,[(皮-(〡/又)+(並-(前-刖)+王))*戊]               
CB29935,難,,[(朕-月)*隹]                               
CB29936,看,,[乏-之+者]                                 
CB29937,,𧦐,[言*爪]                                   
CB29938,角,,[尸@用]                                   
CB29939,綺,,[綜-示+(立/(可-一))]                         
CB29941,蔑,,[卄/(皿-一+(冗-几+戈))]                       
CB29942,升,,[夕*(十/下)]                               
CB29943,壺,,[右/(冗-几+(卄/卄/一))]                       
CB29944,獼,,[狂-王+(方*尒)]                             
CB29945,獲,,[狂-王+(隹/乂)]                             
CB29946,族,,[方*(ㄙ/天)]                               
CB29949,昇,,[日/(夕*(十/下))]                           
CB29950,捅,𢳟,[打-丁+通]                                 
CB29952,綱,,[綱-山+止]                                 
CB29953,濫,,[(冰-水+(臣*(乞-乞+二)))/皿]                   
CB29955,務,,[騖-馬+力]                                 
CB29957,酬,,[酉*(利-禾+夕)]                             
CB29960,契,,[(生*刃)/大]                               
CB29961,陸,,[陛-比+(賁-貝)]                             
CB29962,遁,,[遁-(厂-一)]                               
CB29965,滲,,[滲-(彰-章)+(暴-(日/共))]                     
CB29966,魚,,[烈-列+(美-(王/大)+田)]                       
CB29969,臭,,[自/(冗-几+死)]                             
CB29970,罥,,[罩-卓+(紿-口+月)]                           
CB29972,蓋,,[養-良+皿]                                 
CB29974,綱,,[繹-幸+止]                                 
CB29977,誓,,[打-丁+(斤/言)]                             
CB29978,勸,,[(共-八+隹)*力]                             
CB29981,孃,,[孃-(口*口)]                               
CB29986,氈,𣮻,[毯-炎+面]                                 
CB29989,趁,,[起-巳+尒]                                 
CB29990,索,,[索-十+士]                                 
CB29992,蓋,,[前-刖+盍]                                 
CB29996,叡,,[(止/(脊-月+日))*殳]                         
CB30000,聊,𦖂,[聇-止+(亞-二)]                             
CB30002,,𥕢,[石*曹]                                   
CB30003,,𥪡,[監-皿+立]                                 
CB30006,,㝗,[宋-木+良]                                 
CB30011,鶒,𪄠,[涑*鳥]                                   
CB30012,,𡿖,[山*齧]                                   
CB30013,,㟅,[山*兇]                                   
CB30018,,𡰈,[臬*兀]                                   
CB30020,褾,𧘡,[袖-由+少]                                 
CB30022,,𡃡,[龍/口]                                   
CB30023,,𩐠,[音*共]                                   
CB30026,媚,𡡾,[女*(((人/人)*〡)/(厂@目))]                   
CB30027,胤,,[胤-(乳-孚)]                               
CB30032,參,𠫵,[畚-田+(恭-共)]                             
CB30035,退,𨓆,[遢-羽+夕]                                 
CB30046,,𢥵,[愯*隻]                                   
CB30051,,䓤,[芴/心]                                   
CB30052,尋,,[尋-口+凡]                                 
CB30056,,㟒,[山/君]                                   
CB30059,簡,,[簡-日+月]                                 
CB30060,,𧐖,[虫*連]                                   
CB30061,杈,,[木*(叉-一)]                               
CB30064,,𤍎,[火*郎]                                   
CB30065,,𥔍,[石*秋]                                   
CB30066,傯,,[傯-囪+匆]                                 
CB30067,,㟼,[山/敖]                                   
CB30070,,㝎,[宋-木+之]                                 
CB30072,敕,𠡠,[(〦/米)*力]                               
CB30073,,𣺯,[涅-土+(並-(前-刖)+一)]                       
CB30074,垂,𡸁,[垂-┴+山]                                 
CB30075,法,,[法-土+大]                                 
CB30076,寂,,[宋-木+(廾@?)]                             
CB30079,,𤤒,[王*犮]                                   
CB30082,,𩑮,[勿*頁]                                   
CB30083,,𤋭,[火*香]                                   
CB30085,,𤎜,[火*朗]                                   
CB30087,遽,,[這-言+(?@(土/匆))]                         
CB30093,,𡽡,[山*(免/免)]                               
CB30095,鼎,,[鼎-?+?]                                 
CB30097,腴,,[月*(更-一)]                               
CB30098,,𡖖,[夕*即]                                   
CB30100,,𧇭,[虎*武]                                   
CB30101,缶,𦈢,[卸-ㄗ]                                   
CB30102,僊,𠎣,[僊-(厄-厂)+山]                             
CB30103,,𦆵,[糸*(免/免)]                               
CB30106,總,𢝰,[(牛*匆)/心]                               
CB30107,,𣉪,[日*荒]                                   
CB30108,嵲,𡺼,[山/臬]                                   
CB30112,,𩵋,[魚-(烈-列)+大]                             
CB30114,,𢉰,[序-予+(咒-几+土)]                           
CB30117,晚,𣇋,[日*(美-(王/大)+兄)]                         
CB30119,號,,[號-儿+巾]                                 
CB30121,驂,𩥵,[驂-(彰-章)+小]                             
CB30122,雄,䧺,[右*隹]                                   
CB30123,嶺,𡽹,[山*領]                                   
CB30124,那,䢷,[邱-丘+丹]                                 
CB30125,欲,𣣔,[(美-(王/大)+(工/口))*欠]                     
CB30126,煙,𤇆,[炬-匚+囗]                                 
CB30127,總,𤙹,[牛*忽]                                   
CB30128,促,,[保-木+(之-、)]                             
CB30129,深,𣵫,[深-木+大]                                 
CB30130,從,,[彳*(前-刖+之)]                             
CB30132,若,𠰥,[前-刖+右]                                 
CB30133,足,,[口/(之-、)]                               
CB30134,屨,,[屨-彳+(冰-水+〡)]                           
CB30135,蹤,,[跳-兆+(彳*(前-刖+之))]                       
CB30136,昔,㫺,[(俎-且+(俎-且))/日]                         
CB30138,,㕥,[口*人]                                   
CB30139,幽,,[凵@米]                                   
CB30141,據,𢴃,[打-丁+(皮-(〡/又)+(王/匆))]                   
CB30142,涵,㴠,[涵-(米-十)+(口*又)]                         
CB30144,縱,,[糸*(彳*(前-刖+之))]                         
CB30145,錯,䥘,[錔-水+(俎-且+(俎-且))]                       
CB30147,獨,𤢜,[蜀*犬]                                   
CB30148,,𥿤,[糸*丘]                                   
CB30149,渫,,[沆-几+(ㄙ/木)]                             
CB30151,,𥙂,[社-土+丘]                                 
CB30154,帆,㠶,[巾*(白-日+几)]                             
CB30155,,㖶,[口*垔]                                   
CB30173,,𡡉,[麼-ㄠ+女]                                 
CB30178,漫,,[涅-土+(皿/方)]                             
CB30180,巇,,[山/戲]                                   
CB30181,橕,,[木*掌]                                   
CB30185,含,,[令/口]                                   
CB30186,具,,[目/大]                                   
CB30190,助,,[耳*力]                                   
CB30191,致,,[至*支]                                   
CB30193,匆,,[囪/心]                                   
CB30195,璽,,[爾/王]                                   
CB30199,窗,𥦗,[穴/口/心]                                 
CB30201,步,,[步-止+山]                                 
CB30202,菴,,[奄-大+共]                                 
CB30204,褊,,[社-土+扁]                                 
CB30207,腳,,[邱-丘+胠]                                 
CB30208,降,䧏,[阿-可+夆]                                 
CB30209,蘇,,[前-刖+穌]                                 
CB30217,爽,,[爽-人+大]                                 
CB30218,越,,[越-土+夭]                                 
CB30220,潘,,[潘-釆+米]                                 
CB30221,瑩,,[瑩-玉+王]                                 
CB30223,穆,,[穆-小+厂]                                 
CB30224,飭,,[餚-有+方]                                 
CB30225,罄,,[罄-山+止]                                 
CB30226,歸,,[歸-止+大]                                 
CB30227,翻,,[翻-釆+米]                                 
CB30228,關,,[關-丱+大]                                 
CB30229,關,,[關-丱+廾]                                 
CB30230,曦,,[曦-ㄎ+乃]                                 
CB30231,鹽,,[鹽-臣+土]                                 
CB30232,坳,,[坳-力+刀]                                 
CB30234,谽,,[谽-今+令]                                 
CB30235,,𥦖,[窲-米+口]                                 
CB30236,苑,,[蕵-食+匕]                                 
CB30237,罍,,[罍-山+止]                                 
CB30238,爨,,[亹-且+焚]                                 
CB30239,罏,,[罏-山+止]                                 
CB30240,罘,,[(ㄇ@人)/不]                               
CB30241,罨,,[(ㄇ@人)/奄]                               
CB30242,罳,,[(ㄇ@人)/思]                               
CB30244,翻,,[(米/田)*飛]                               
CB30247,塗,,[(冰-水+余)/土]                             
CB30248,胸,,[(匈-凵+└)/月]                             
CB30251,蔥,,[卄/(囟-乂+夕)]                             
CB30252,博,,[十*(十/甲/寸)]                             
CB30254,窾,,[穴/(肄-聿+欠)]                             
CB30255,紱,,[糸*(乏-之+友)]                             
CB30256,傳,,[估-口+(甲/寸)]                             
CB30257,乖,,[乖-北+(土*土)]                             
CB30258,流,𣴑,[流-ㄊ+(一/ㄙ)]                             
CB30259,塔,,[塔-卄+(前-刖)]                             
CB30262,騁,,[騁-由+(叟-又)]                             
CB30263,關,𨶚,[關-丱+(┤*├)]                             
CB30264,盱,,[盱-工+(前-刖)]                             
CB30265,庶,,[庴-日+(人*人)]                             
CB30266,盭,,[盭-ㄠ+(各-口)]                             
CB30268,罨,,[(ㄇ@(企-止))/(奄-大+共)]                     
CB30269,窾,,[穴/((上/矢)*欠)]                           
CB30270,蕤,,[(毤-允+豕)-毛+王]                           
CB30273,傍,𠊓,[伉-几+(句-口+方)]                           
CB30274,滅,,[冰-水+(威-女+火)]                           
CB30275,看,,[采-木+(石-口+目)]                           
CB30277,嗤,,[喘-而+(乏-之+虫)]                           
CB30279,帶,,[(廿*廿)/(冗-几+巾)]                         
CB30281,虢,,[乎*(虒-虎+(土/巾))]                         
CB30282,緱,,[糸*(色-巴+(厂@矢))]                         
CB30283,鼠,䑕,[臼/(夙-歹+(舉-與))]                         
CB30284,迴,,[廷-壬+(面-(百-日))]                         
CB30285,關,,[門@(幾-(戈@人)+大)]                         
CB30286,皋,,[自/(犀-尸-牛)/一/十]                         
CB30287,眉,,[((人/人)*〡)/(石-口+目)]                     
CB30288,發,,[(並-(前-刖))/(弓*矢)]                       
CB30289,肺,,[月*(朿-(乂-(必-心)))]                       
CB30290,卷,,[券-刀+(令-(合-口)+、)]                       
CB30292,旃,,[施-也+(舟-(、/、)+〡)]                       
CB30295,栴,,[栴-丹+(舟-(、/、)+〡)]                       
CB30296,曚,,[曚-卄+((並-(前-刖))-一)]                     
CB30298,留,,[一/(匚*〡*〡*(巨-匚))/田]                     
CB30299,嵋,,[山*(((人/人)*〡)/(厂@目))]                   
CB30302,爽,,[(木-(企-止)+((人/人)*(人/人)))/(一/八)]         
CB30304,詮,,[詮-土+((侯-(仁-二))-矢)]                     
CB30305,微,,[徽-糸+月]                                 
CB30306,液,,[沆-几+((處-虍)-几+月)]                       
CB30308,虛,,[(孛-(十/子)+王)/丘]                         
CB30309,虧,,[(皮-(〡/又)+(王/丘))*(前-刖+ㄅ)]               
CB30310,懿,,[烈-列+(壹*欠)]                             
CB30312,贊,,[(烈-列+廿)/貝]                             
CB30313,節,,[卄/((白/匕)*ㄗ)]                           
CB30314,旌,,[旌-方+示]                                 
CB30315,赫,𡎓,[(土*土)/(((烈-列)-、)*((烈-列)-、))]           
CB30316,藻,𧀉,[藻-喿+(參-(彰-章)+小)]                       
CB30320,迅,𨑷,[遧-音+八]                                 
CB30323,華,,[(傘-(企-止)+卄)-┬+ㄎ]                       
CB30325,晞,,[日*(文/巾)]                               
CB30329,鏤,,[鏤-?+?]                                 
CB30330,旋,,[旋-疋+足]                                 
CB30331,,𧡃,[宏*見]                                   
CB30333,奕,,[〦/丱/廾]                                 
CB30334,照,𤋜,[昭/火]                                   
CB30338,刻,𠜇,[刻-亥+(〦/(大-一+凵))]                       
CB30340,,䈽,[竺-二+堇]                                 
CB30341,指,,[拖-也+日]                                 
CB30342,游,,[游-方+木]                                 
CB30344,藝,,[藝-埶+(幸*凡)]                             
CB30347,寂,𥥒,[穴/(豕-ㄑ)]                               
CB30351,樂,,[白/(樂-白)]                               
CB30354,,𥟡,[禾*宗]                                   
CB30356,辨,,[(土/羊)*(班-玨)*(土/羊)]                     
CB30357,剋,,[(古/兀)*寸]                               
CB30359,爵,,[爪/((日/匕)*寸)]                           
CB30360,於,,[打-丁+(俎-且)]                             
CB30361,雖,,[雖-虫+兀]                                 
CB30362,營,,[營-(火*火)+卌]                             
CB30363,圖,,[ㄙ/(面-(百-日)+(友-又))]                     
CB30364,喪,,[〦/(口*口)/(上@一)]                         
CB30366,遠,,[遠-袁+(荒-芒+去)]                           
CB30367,變,,[〦/(幽-凵)/又]                             
CB30368,邈,,[逖-火+艮]                                 
CB30369,,㓻,[利-禾+罡]                                 
CB30379,從,,[彳*(前-刖+(之-一))]                         
CB30380,條,,[彳*〡*(ㄆ/示)]                             
CB30383,厥,𠪼,[厂@(幸*艮)]                               
CB30384,發,,[發-殳+〡]                                 
CB30386,願,,[(?/貝)*頁]                               
CB30387,永,,[永-ㄑ+匕]                                 
CB30388,樓,,[櫻-賏+央]                                 
CB30390,慮,,[(孛-(十/子)+工)/思]                         
CB30392,風,,[夙-歹+(前-刖+虫)]                           
CB30393,國,,[囗@(?*戈)]                               
CB30394,彌,𢏏,[弓*尒]                                   
CB30396,蝎,,[(乏-之+虫)*(日/(句-口+匕))]                   
CB30401,正,,[一/(心-(白-日))]                           
CB30402,寅,𥦕,[穴/田/八]                                 
CB30404,赤,,[烈-列+土]                                 
CB30407,率,,[〦/(ㄠ*(言-〦)*ㄠ)/十]                       
CB30408,區,,[區-品+((口*口)/口)]                         
CB30410,恢,,[怪-土+火]                                 
CB30412,勢,,[契-大+乃]                                 
CB30413,,𩑬,[旡*頁]                                   
CB30415,痛,,[痛-甬+恿]                                 
CB30416,僧,,[彳*曾]                                   
CB30418,雖,,[兄*隹]                                   
CB30420,藻,,[藻-木+(尒-小+(恭-共))]                       
CB30426,邦,𨛁,[邱-丘+羊]                                 
CB30429,老,,[先@?]                                   
CB30433,聖,,[〦/昍/王]                                 
CB30434,亡,,[上@、]                                   
CB30436,禮,𥘇,[社-土+匕]                                 
CB30437,珍,,[王*(人/小)]                               
CB30439,養,,[券-刀+艮]                                 
CB30440,能,䏻,[(ㄙ/月)*去]                               
CB30442,,𤩆,[王*(色-巴+(罩-卓+犮))]                       
CB30443,短,,[(冰-水+〡)*豆]                             
CB30447,陛,,[((耜-耒)/(乏-之))*(土/比)]                   
CB30450,能,,[(ㄙ/月)*(素-糸+ㄙ)]                         
CB30454,慶,,[慶-(心/ㄆ)+又]                             
CB30455,就,,[(〦/日/小)*((龍-(立/月)-├))]                 
CB30457,業,,[(並-(前-刖))/呆]                           
CB30458,朔,,[(么-?+?)*月]                             
CB30459,戊,,[戊-、]                                   
CB30460,來,,[束-口+二]                                 
CB30462,胄,,[田/一/月]                                 
CB30464,虎,,[虍-七+(一/巿)]                             
CB30469,席,,[鹿-比+(冗-几+巾)]                           
CB30470,爽,,[卒-十+(坐-土+大)]                           
CB30471,染,,[渀-卉+木]                                 
CB30472,虔,𠧘,[虍-七+又]                                 
CB30473,淑,,[淑-叔+(、廾八、)]                            
CB30476,寇,,[寇-├+口]                                 
CB30477,椒,,[椒-叔+(、廾八、、)]                           
CB30478,亦,,[烈-列+(夕-、)]                             
CB30479,所,,[一/((月-三+一)*(乞-乙+〡))]                   
CB30482,獻,,[(一/?/(厂@用))*犬]                         
CB30484,督,𥆳,[督-叔+(、廾、、、)]                           
CB30485,焉,𤇟,[舄-臼+(匚@人)]                             
CB30486,舊,,[〦/隹/田]                                 
CB30488,權,,[示*(六/隹)]                               
CB30489,或,㦯,[或-口+ㄙ]                                 
CB30490,柝,𣐼,[櫥-尌+干]                                 
CB30493,舊,,[〦/隹/(└*日)]                             
CB30494,章,,[章-日+田]                                 
CB30498,惡,,[賣-貝+心]                                 
CB30500,歸,,[((色-巴+(耜-耒))/(乏-之))*(士/木)]             
CB30501,歸,𣦨,[歸-帚+來]                                 
CB30502,繕,𦆶,[糸*(芏/言)]                               
CB30503,直,,[〦/目/〦]                                 
CB30505,莊,,[病-丙+(玉-王+土)]                           
CB30507,,𠇈,[佌-匕]                                   
CB30511,,𩔊,[頁*頁]                                   
CB30512,營,,[官-、+(卄*卄)]                             
CB30516,,𧉾,[春-日+虫]                                 
CB30519,所,,[一/(月*(乞-乙+〡))]                         
CB30525,微,,[倣-方+(山/月)]                             
CB30526,仰,,[仰-ㄗ+(邱-丘)]                             
CB30527,冠,𠖌,[冠-元+(袖-由)]                             
CB30529,,𠁅,[皮-(〡/又)+(王/匆)]                         
CB30530,哭,,[晉-(二/日)+大]                             
CB30531,置,,[旦/(具-八)]                               
CB30532,留,𤱊,[(ㄙ*ㄙ)/田]                               
CB30533,柔,,[(予-(丁-一)+儿)/木]                         
CB30534,慚,,[轗-咸+斤]                                 
CB30536,榛,𣐽,[辛/木]                                   
CB30537,,䀤,[外/目]                                   
CB30540,改,,[(民-(弋-、)+?)*又]                         
CB30542,荒,,[荒-芒+(前-刖+(?/一))]                       
CB30543,胸,,[凶/(丮-(舉-與)+月)]                         
CB30544,悕,,[怡-台+(文/巾)]                             
CB30546,楫,,[捐*戈]                                   
CB30547,遐,,[遫-束+斤]                                 
CB30551,跡,,[跪-厄+(烈-列)]                             
CB30554,拔,,[拔-、]                                   
CB30555,怪,𢘪,[怖-巾+土]                                 
CB30556,俗,,[併-廾+口]                                 
CB30557,寡,,[實-毌+十]                                 
CB30558,遠,,[達-羊+(夕*〡*(、/、))]                       
CB30561,冥,,[宋-木+(白-日+具)]                           
CB30562,權,,[摧-山+六]                                 
CB30564,勸,,[(六/隹)*力]                               
CB30569,隸,,[(上/一/木)*(入/米)]                         
CB30577,成,,[成-?+?]                                 
CB30578,初,,[社-土+ㄉ]                                 
CB30579,虛,,[皮-(〡/又)+(王/丘)]                         
CB30580,賾,,[賾-口+(〡*(巨-匚))]                         
CB30581,欽,𣣽,[欽-工+(匚@一)]                             
CB30583,仍,,[仁-二+(乃@人)]                             
CB30585,像,,[佹-厄+(罩-卓+(舄-臼))]                       
CB30587,寂,𡧘,[家-ㄑ]                                   
CB30589,汎,,[泊-日+凡]                                 
CB30590,膝,,[月*(夾-人+木)]                             
CB30591,拯,,[拯-一+(烈-列)]                             
CB30592,地,,[(玉-王+土)*(丱-(丌-一)+(巳-(巨-匚)+〡))]         
CB30593,牙,,[一/((ㄠ-?)*〡)]                           
CB30595,能,,[(色-巴+月)*(畏-田+├)]                       
CB30596,氛,,[夕/(丮-(舉-與)+分)/皿]                       
CB30598,罩,,[穴/(企-止+早)]                             
CB30602,整,𠢫,[((〦/米)*力)/正]                           
CB30603,邊,𨕙,[這-言+(島-山+力)]                           
CB30606,恩,,[恩-大+工]                                 
CB30609,稟,,[(烈-列+〦)/(罩-卓+米)]                       
CB30610,曉,,[日*(十/(十*十)/兀)]                         
CB30611,範,,[蓒-干+凡]                                 
CB30612,深,,[涳-工+水]                                 
CB30613,步,𡵯,[山/少]                                   
CB30614,嘉,,[土/加]                                   
CB30615,製,,[剬/衣]                                   
CB30619,敷,,[敲-高+專]                                 
CB30620,照,,[(昭-刀+(美-(王/大)))/大]                     
CB30621,聲,,[(士/(眉-目+耳))*(口/又)]                     
CB30622,隸,,[(上/夫)*(ㄆ/米)]                           
CB30625,極,,[打-丁+(亟-一+(烈-列))]                       
CB30626,,𢨼,[戶@(並-(前-刖))]                           
CB30627,取,,[(輒-車)-(乳-孚)+ㄑ]                         
