#CB编号, 通用字, 原字, 組合表示式
CB00866,歛,𣫍,[僉*殳]                                   
CB00867,蝐,,[蜎-口+曰]                                 
CB00868,罽,𦋺,[罽-厂]                                   
CB00870,,𦼐,[卄/焱]                                   
CB00871,,㯏,[聲-耳+木]                                 
CB00875,,䒫,[卄/代]                                   
CB00877,蔽,𦿔,[卄/弊]                                   
CB00879,,𦿁,[卄/稫]                                   
CB00880,,𠲜,[口*爭]                                   
CB00881,啣,,[口*御]                                   
CB00882,,𡀱,[口*號]                                   
CB00883,,㜮,[女*監]                                   
CB00889,,㻔,[王*垂]                                   
CB00891,墜,䃍,[石*(隊-(阿-可))]                           
CB00892,,䅜,[禾*垂]                                   
CB00895,寐,𥧌,[穴/(爿*未)]                               
CB00896,寤,𥧝,[穴/悟]                                   
CB00897,窺,,[穴/視]                                   
CB00899,,𧍒,[虫*耑]                                   
CB00900,漂,𣿖,[利-禾+漂]                                 
CB00901,,㝯,[宋-木+喬]                                 
CB00902,廧,𢊂,[序-予+(青-月+回)]                           
CB00904,勃,㪍,[改-己+孛]                                 
CB00905,漁,䰻,[改-己+魚]                                 
CB00906,敏,,[每*殳]                                   
CB00907,狖,㹨,[狂-王+由]                                 
CB00908,蠡,𧋠,[豕/虫]                                   
CB00909,得,𧴫,[貝*寸]                                   
CB00911,,㣿,[怡-台+勺]                                 
CB00914,,㥽,[怡-台+責]                                 
CB00916,,𣱽,[泳-永+乃]                                 
CB00919,,𨩴,[金*穿]                                   
CB00920,,𤴨,[病-丙+又]                                 
CB00922,,䞯,[起-巳+孚]                                 
CB00924,衽,,[袖-由+王]                                 
CB00925,,𨒬,[這-言+至]                                 
CB00926,,𩾜,[鳥/力]                                   
CB00927,,𪐦,[黑*亢]                                   
CB00930,魅,𩲐,[魅-未+勿]                                 
CB00932,黎,𥠖,[黎-(暴-(日/共))+(恭-共)]                     
CB00933,,㙩,[嘹-口+土]                                 
CB00939,笞,𢲹,[撘-合+台]                                 
CB00941,嗅,,[口*(自/死)]                               
CB00942,,㘑,[口*(隸-木+士)]                             
CB00943,,㗥,[口*郭]                                   
CB00944,,𡂡,[口*數]                                   
CB00946,,𡊟,[土*目]                                   
CB00948,姚,,[女*(乖-千+乇)]                             
CB00949,,𡞢,[女*剋]                                   
CB00950,幀,,[巾*((宋-木)/登)]                           
CB00951,,𠐻,[仁-二+蹇]                                 
CB00952,,𢩘,[戶@盍]                                   
CB00956,腦,𦜩,[月*忽]                                   
CB00957,璁,𤧚,[王*(匆/心)]                               
CB00959,辜,𦍬,[古/羊]                                   
CB00961,,𢮿,[打-丁+乖]                                 
CB00963,挽,𢱍,[打-丁+勉]                                 
CB00965,,䂌,[矛*童]                                   
CB00970,斛,㪶,[百*斗]                                   
CB00972,罪,,[自/幸]                                   
CB00975,,𤝔,[狂-王+付]                                 
CB00976,斛,,[角*升]                                   
CB00979,觱,𧤅,[或/角]                                   
CB00982,莊,㽵,[病-丙+土]                                 
CB00983,,𤻀,[病-丙+歲]                                 
CB00984,,𠢕,[敖/力]                                   
CB00985,愆,𠎝,[億-音+(夫*夫)]                             
CB00993,髮,𩬊,[髟/火]                                   
CB00995,,𦡲,[月*寧]                                   
CB00996,,㮿,[木*畢]                                   
CB00997,,䋈,[奴/糸]                                   
CB00998,,𦕈,[耳*少]                                   
CB01000,癵,𤼙,[病-丙+(戀-心)]                             
CB01001,臍,,[〦/(刀*了*(留-刀-田))/肉]                     
CB01002,,㝵,[得-彳]                                   
CB01007,葉,𦰧,[葉-世+ㄊ]                                 
CB01008,段,,[(暇-日)-(己-(乳-孚))+几]                     
CB01010,芛,𦭽,[卄/伊]                                   
CB01011,蓖,,[卄/毘]                                   
CB01012,,𦶇,[卄/毦]                                   
CB01017,,𠲎,[口*伐]                                   
CB01021,,𠻬,[口*荼]                                   
CB01023,,㗱,[口*集]                                   
CB01025,,𡃧,[口*歔]                                   
CB01026,坻,,[土*(系-小)]                               
CB01027,,𠆵,[仁-二+兮]                                 
CB01029,,𣐎,[木*瓦]                                   
CB01031,,𤊟,[火*定]                                   
CB01032,光,,[火/几]                                   
CB01036,靦,𥈅,[目*面]                                   
CB01037,,𥎞,[矛*(替-曰+貝)]                             
CB01039,,䅎,[禾*秀]                                   
CB01042,聾,䏊,[耳*龍]                                   
CB01043,,䖧,[虫*旦]                                   
CB01044,蠟,䗶,[虫*葛]                                   
CB01045,,𧔣,[虫*賴]                                   
CB01046,,𢇲,[序-予+禾]                                 
CB01047,紗,𦀟,[沙/糸]                                   
CB01048,貔,𤠞,[狂-王+(媲-女)]                             
CB01050,觸,𧢻,[角/牛]                                   
CB01051,肢,𨈛,[身*支]                                   
CB01052,轢,𨍮,[車*鬲]                                   
CB01055,盥,𤃗,[泳-永+盥]                                 
CB01056,邸,𨚎,[邱-丘+互]                                 
CB01057,那,𨚗,[邱-丘+冉]                                 
CB01060,,𤴲,[病-丙+干]                                 
CB01061,,㿃,[病-丙+帶]                                 
CB01062,,㿇,[病-丙+習]                                 
CB01065,,䱜,[魚*昔]                                   
CB01066,,𪉖,[鹵/土]                                   
CB01067,,䴬,[麥*弋]                                   
CB01068,,䴰,[麥*戈]                                   
CB01147,臧,,[冰-水+(戊@臣)]                             
CB01069,毾,㲩,[毯-炎+(日/羽)]                             
CB01070,,𣰆,[毯-炎+登]                                 
CB01071,氍,𣰽,[毯-炎+瞿]                                 
CB01073,,㽃,[番*瓦]                                   
CB01076,,䪺,[去*頁]                                   
CB01077,壺,,[夢-夕+?]                                 
CB01082,,𪎭,[麾-毛+黍]                                 
CB01083,,𣫘,[聲-耳+卵]                                 
CB01084,,𢍶,[戀-心+廾]                                 
CB01086,,𠪩,[厂@黑]                                   
CB01088,鬘,𩭈,[髟/(百-日+目)]                             
CB01092,,𡑞,[土*遂]                                   
CB01094,暖,㬉,[日*耎]                                   
CB01095,,䑌,[月*闌]                                   
CB01096,,𣏌,[木*巳]                                   
CB01097,,𣖷,[木*脊]                                   
CB01099,,𢳇,[打-丁+族]                                 
CB01100,,㩌,[打-丁+費]                                 
CB01103,秋,𥢠,[禾*(而/而)]                               
CB01107,蚸,𧈼,[虫*片]                                   
CB01109,虻,䗈,[虫*盲]                                   
CB01110,湎,䤄,[酉*面]                                   
CB01113,蹈,,[跳-兆+(焰-火)]                             
CB01115,,𣞙,[壴*桑]                                   
CB01116,蜆,䗾,[韅-革+虫]                                 
CB01118,,𦳈,[卄/毗]                                   
CB01121,,㗘,[口*尃]                                   
CB01125,傀,𠎺,[仁-二+嵬]                                 
CB01128,,㮃,[木*委]                                   
CB01130,脊,𦙊,[火/月]                                   
CB01132,牸,㹀,[牛*孛]                                   
CB01133,,𤫚,[王*離]                                   
CB01135,撲,𢷏,[打-丁+僕]                                 
CB01138,,𥑐,[石*甲]                                   
CB01140,裨,,[示*卑]                                   
CB01142,稷,,[示*畟]                                   
CB01144,,𥣪,[禾*(替-曰+貝)]                             
CB01150,黎,𥟦,[利/(尒-小+(恭-共))]                         
CB01151,,𢇻,[序-予+矢]                                 
CB01152,,𢉝,[序-予+畏]                                 
CB01154,釭,𨊧,[車*工]                                   
CB01160,,𣷱,[泳-永+使]                                 
CB01161,,𣳦,[泳-永+囟]                                 
CB01162,礦,𨥥,[金*丱]                                   
CB01163,乾,𨺩,[阿-可+建]                                 
CB01164,,𨽦,[阿-可+聶]                                 
CB01166,鮀,䰿,[施-方+魚]                                 
CB01167,,䩸,[革*茸]                                   
CB01172,,䬫,[飢-几+氐]                                 
CB01174,,𩣺,[馬*奔]                                   
CB01176,鍋,𩰭,[鬲*戈]                                   
CB01179,,䵑,[黍*刃]                                   
CB01181,踡,䠰,[跳-兆+雚]                                 
CB01184,瘧,,[瘧-虍+雨]                                 
CB01186,麴,,[麩-夫+曲]                                 
CB01187,,𪍑,[麩-夫+酋]                                 
CB01190,厄,,[厂@巴]                                   
CB01196,,㓛,[工*刀]                                   
CB01198,壺,,[壺-士+?]                                 
CB01204,茇,𦭞,[卄/(乏-之+友)]                             
CB01211,,𦵧,[卄/狼]                                   
CB01212,,䓽,[卄/記]                                   
CB01214,,𠳞,[呿*ㄗ]                                   
CB01215,,𠰢,[口*半]                                   
CB01216,,𠱥,[口*卉]                                   
CB01217,,𠰘,[口*皿]                                   
CB01218,,㖉,[口*企]                                   
CB01219,,㖃,[口*后]                                   
CB01220,,𠴊,[口*呂]                                   
CB01221,,𠴫,[口*叔]                                   
CB01223,,㖿,[口*耶]                                   
CB01224,噱,㖸,[口*虐]                                   
CB01228,,𠻱,[口*陵]                                   
CB01231,喝,𠿒,[口*歇]                                   
CB01236,,𡄦,[口*臨]                                   
CB01238,,𡅏,[口*禮]                                   
CB01239,呵,,[口/可]                                   
CB01240,,𡋯,[土*孛]                                   
CB01242,殯,𡒨,[土*賓]                                   
CB01243,,㙛,[土*尃]                                   
CB01245,,𡛥,[女*它]                                   
CB01248,,𡺐,[山*者]                                   
CB01251,幀,㡧,[巾*(穴/登)]                               
CB01252,,𢂁,[巾*句]                                   
CB01257,,𠌥,[仁-二+烏]                                 
CB01261,胝,𦙠,[月*(弓/一)]                               
CB01262,,䏥,[月*冉]                                   
CB01263,,𦙶,[月*古]                                   
CB01265,,䏺,[月*夆]                                   
CB01269,,𣔻,[木*突]                                   
CB01270,,㮹,[木*致]                                   
CB01272,,𣞻,[木*罷]                                   
CB01275,,㮙,[木*咢]                                   
CB01283,,𩿦,[只*鳥]                                   
CB01284,眴,䀏,[句-口+目]                                 
CB01285,盎,㼜,[央/瓦]                                   
CB01289,,㨜,[打-丁+虔]                                 
CB01290,,𢹌,[打-丁+遲]                                 
CB01295,,𥌛,[目*黎]                                   
CB01303,,䳄,[此*鳥]                                   
CB01304,餈,,[米*茲]                                   
CB01306,,䍲,[羊*兒]                                   
CB01309,,㓺,[利-禾+虔]                                 
CB01313,庉,𢇠,[序-予+(扥-(打-丁))]                         
CB01316,,㲚,[沙/毛]                                   
CB01321,嚫,䞋,[貝*親]                                   
CB01323,,𨍏,[車*度]                                   
CB01324,,㲀,[辰*殳]                                   
CB01325,,䣯,[酉*且]                                   
CB01331,,𢟋,[怡-台+追]                                 
CB01332,,㦗,[怡-台+禁]                                 
CB01334,,㦬,[怡-台+羅]                                 
CB01338,,𥫱,[竺-二+屯]                                 
CB01342,,𥱴,[竺-二+捕]                                 
CB01347,,𨩲,[金*咨]                                   
CB01348,,𨨲,[金*持]                                   
CB01349,鍑,,[金*夏]                                   
CB01350,鈍,,[金*乇]                                   
CB01355,,㼐,[扁*瓜]                                   
CB01357,,𩊅,[革*卯]                                   
CB01358,,䩙,[革*玄]                                   
CB01360,,𩌈,[革*索]                                   
