腌 骯 U+814C U+9AAF
炤 照 U+70A4 U+7167
照 炤 U+7167 U+70A4
晢 晰 U+6662 U+6670
砧 碪 U+7827 U+78AA
碪 砧 U+78AA U+7827
胗 疹 U+80D7 U+75B9
抌 舀 U+628C U+8200
陣 陳 U+9663 U+9673
鴆 酖 U+9D06 U+9156
蒸 烝 U+84B8 U+70DD
証 證 U+8A3C U+8B49
祗 只 U+7957 U+53EA
肢 胑 U+80A2 U+80D1
侄 姪 U+4F84 U+59EA
姪 侄 U+59EA U+4F84
摭 拓 U+646D U+62D3
阯 址 U+962F U+5740
寘 置 U+5BD8 U+7F6E
志 誌 U+5FD7 U+8A8C
懥 懫 U+61E5 U+61EB
擲 擿 U+64F2 U+64FF
置 寘 U+7F6E U+5BD8
豸 廌 U+8C78 U+5ECC
郅 胝 U+90C5 U+80DD
伀 彸 U+4F00 U+5F78
塚 冢 U+585A U+51A2
尰 腫 U+5C30 U+816B
周 週 U+5468 U+9031
盩 盭 U+76E9 U+76ED
粥 鬻 U+7CA5 U+9B3B
胄 冑 U+80C4 U+5191
烛 燭 U+70DB U+71ED
陼 渚 U+967C U+6E1A
檛 簻 U+6A9B U+7C3B
鵻 隼 U+9D7B U+96BC
准 準 U+51C6 U+6E96
桌 棹 U+684C U+68F9
卓 棹 U+5353 U+68F9
蝃 螮 U+8743 U+87AE
玆 茲 U+7386 U+8332
騣 鬃 U+9A23 U+9B03
墫 樽 U+58AB U+6A3D
噂 譐 U+5642 U+8B50
