矮 躷 U+77EE U+8EB7
惠 恵 U+60E0 U+6075
會 会 U+6703 U+4F1A
繪 絵 U+7E6A U+7D75
翽 翙 U+7FFD U+7FD9
昏 昬 U+660F U+662C
慁 㥵 U+6141 U+3975
火 灬 U+706B U+706C
霍 癨 U+970D U+7668
唧 喞 U+5527 U+559E
基 抍 U+57FA U+628D
姬 姫 U+59EC U+59EB
擊 撃 U+64CA U+6483
稘 朞 U+7A18 U+671E
羈 覊 U+7F88 U+898A
跡 迹 U+8DE1 U+8FF9
雞 鶏 U+96DE U+9D8F
雞 鷄 U+96DE U+9DC4
雞 鸡 U+96DE U+9E21
飢 饥 U+98E2 U+9965
齏 韲 U+9F4F U+97F2
即 卽 U+5373 U+537D
嫉 𡜱 U+5AC9 U+21731
秸 稭 U+79F8 U+7A2D
級 𨸚 U+7D1A U+28E1A
劑 剤 U+5291 U+5264
塈 墍 U+5848 U+588D
既 旣 U+65E2 U+65E3
繫 繋 U+7E6B U+7E4B
繼 継 U+7E7C U+7D99
薺 萕 U+85BA U+8415
假 仮 U+5047 U+4EEE
斝 斚 U+659D U+659A
價 価 U+50F9 U+4FA1
幵 开 U+5E75 U+5F00
殲 殱 U+6BB2 U+6BB1
籛 篯 U+7C5B U+7BEF
儉 倹 U+5109 U+5039
減 减 U+6E1B U+51CF
鋄 錽 U+92C4 U+933D
鹼 硷 U+9E7C U+7877
劍 釖 U+528D U+91D6
劍 劒 U+528D U+5292
澗 磵 U+6F97 U+78F5
瞷 瞯 U+77B7 U+77AF
將 𤕭 U+5C07 U+2456D
將 将 U+5C07 U+5C06
漿 𤕯 U+6F3F U+2456F
疆 畺 U+7586 U+757A
薑 葁 U+8591 U+8441
豇 䜶 U+8C47 U+4736
韁 繮 U+97C1 U+7E6E
獎 奬 U+734E U+596C
強 强 U+5F37 U+5F3A
彊 强 U+5F4A U+5F3A
糨 糡 U+7CE8 U+7CE1
醬 醤 U+91AC U+91A4
降 夅 U+964D U+5905
教 敎 U+6559 U+654E
腳 脚 U+8173 U+811A
覺 覐 U+89BA U+8990
覺 斍 U+89BA U+658D
節 罇 U+7BC0 U+7F47
階 堦 U+968E U+5826
劫 刦 U+52AB U+5226
劫 刼 U+52AB U+523C
卩 㔾 U+5369 U+353E
捷 㨗 U+6377 U+3A17
睫 䀹 U+776B U+4039
解 觧 U+89E3 U+89E7
屆 届 U+5C46 U+5C4A
界 堺 U+754C U+583A
金 钅 U+91D1 U+9485
盡 尽 U+76E1 U+5C3D
緊 𦂳 U+7DCA U+260B3
晉 晋 U+6649 U+664B
濜 浕 U+6FDC U+6D55
璡 琎 U+74A1 U+740E
京 亰 U+4EAC U+4EB0
經 𦀇 U+7D93 U+26007
荊 荆 U+834A U+8346
阱 穽 U+9631 U+7A7D
徑 迳 U+5F91 U+8FF3
淨 净 U+6DE8 U+51C0
淨 浄 U+6DE8 U+6D44
競 竸 U+7AF6 U+7AF8
競 誩 U+7AF6 U+8AA9
靜 静 U+975C U+9759
糾 糺 U+7CFE U+7CFA
鬮 䰗 U+9B2E U+4C17
久 乆 U+4E45 U+4E46
韭 韮 U+97ED U+97EE
廄 廏 U+5EC4 U+5ECF
廄 廐 U+5EC4 U+5ED0
柩 柾 U+67E9 U+67FE
舊 旧 U+820A U+65E7
俱 倶 U+4FF1 U+5036
居 㞐 U+5C45 U+3790
據 拠 U+64DA U+62E0
鞫 諊 U+97AB U+8ACA
矩 榘 U+77E9 U+6998
舉 㪯 U+8209 U+3AAF
舉 擧 U+8209 U+64E7
巨 钜 U+5DE8 U+949C
懼 惧 U+61FC U+60E7
瞿 䀠 U+77BF U+4020
