㖈 䎛 U+3588 U+439B
口 𠮚 U+53E3 U+20B9A
古 𠖠 U+53E4 U+205A0
叩 𢼒 U+53E9 U+22F12
叫 𠮧 U+53EB U+20BA7
叫 呌 U+53EB U+544C
叫 𠸵 U+53EB U+20E35
召 𠮦 U+53EC U+20BA6
叱 𠮟 U+53F1 U+20B9F
史 㕜 U+53F2 U+355C
叵 尀 U+53F5 U+5C00
司 𤔲 U+53F8 U+24532
吁 𠮲 U+5401 U+20BB2
吃 𡄊 U+5403 U+2110A
吆 吆 U+5406 U+2F83B
吉 𠮷 U+5409 U+20BB7
向 𥥩 U+5411 U+25969
向 𤖽 U+5411 U+245BD
吒 咤 U+5412 U+54A4
君 𠱩 U+541B U+20C69
君 𠱭 U+541B U+20C6D
吝 𠯌 U+541D U+20BCC
吝 㖁 U+541D U+3581
吝 𠲲 U+541D U+20CB2
吝 悋 U+541D U+608B
吝 𠴽 U+541D U+20D3D
吝 𠫤 U+541D U+20AE4
吝 恡 U+541D U+6061
吞 呑 U+541E U+5451
吟 唫 U+541F U+552B
吟 㕂 U+541F U+3542
否 𠘶 U+5426 U+20636
吮 𠵷 U+542E U+20D77
吳 呉 U+5433 U+5449
吳 吴 U+5433 U+5434
吸 噏 U+5438 U+564F
吹 龡 U+5439 U+9FA1
吹 𠷕 U+5439 U+20DD5
吻 䐇 U+543B U+4407
吻 肳 U+543B U+80B3
吻 𠞍 U+543B U+2078D
吻 㖧 U+543B U+35A7
吻 𦝮 U+543B U+2676E
吻 脗 U+543B U+8117
吾 𠮣 U+543E U+20BA3
呂 吕 U+5442 U+5415
呈 㞷 U+5448 U+37B7
告 叝 U+544A U+53DD
告 吿 U+544A U+543F
呢 𠽬 U+5462 U+20F6C
周 𠄗 U+5468 U+20117
周 𠱬 U+5468 U+20C6C
呰 啙 U+5470 U+5559
呱 哌 U+5471 U+54CC
呻 𠲳 U+547B U+20CB3
呼 𠰗 U+547C U+20C17
命 𠇮 U+547D U+201EE
呿 𠳷 U+547F U+20CF7
呿 㰦 U+547F U+3C26
咂 𠯗 U+5482 U+20BD7
咆 𠲅 U+5486 U+20C85
和 咊 U+548C U+548A
和 惒 U+548C U+60D2
咎 𠧨 U+548E U+209E8
咒 呪 U+5492 U+546A
咠 舙 U+54A0 U+8219
咢 㖾 U+54A2 U+35BE
咨 谘 U+54A8 U+8C18
咨 嗞 U+54A8 U+55DE
咩 哶 U+54A9 U+54F6
咬 䶧 U+54AC U+4DA7
咬 齩 U+54AC U+9F69
咳 𠺡 U+54B3 U+20EA1
咽 𠰸 U+54BD U+20C38
咽 𡲙 U+54BD U+21C99
咿 吚 U+54BF U+541A
哀 𢜺 U+54C0 U+2273A
哂 吲 U+54C2 U+5432
哄 閧 U+54C4 U+95A7
哅 㕼 U+54C5 U+357C
哉 㦲 U+54C9 U+39B2
哉 㢤 U+54C9 U+38A4
哦 誐 U+54E6 U+8A90
哪 㖠 U+54EA U+35A0
哲 喆 U+54F2 U+5586
哳 𠹗 U+54F3 U+20E57
哳 𠻯 U+54F3 U+20EEF
哽 𠶺 U+54FD U+20DBA
唁 囐 U+5501 U+56D0
唉 㗒 U+5509 U+35D2
唐 啺 U+5510 U+557A
唚 吣 U+551A U+5423
唧 喞 U+5527 U+559E
唧 𠷌 U+5527 U+20DCC
唱 𪛋 U+5531 U+2A6CB
唵 𠵵 U+5535 U+20D75
唾 涶 U+553E U+6DB6
商 𧷮 U+5546 U+27DEE
商 𧶜 U+5546 U+27D9C
商 𠹧 U+5546 U+20E67
問 𠳅 U+554F U+20CC5
啖 噉 U+5556 U+5649
啖 㗖 U+5556 U+35D6
啖 啗 U+5556 U+5557
啗 㗖 U+5557 U+35D6
啜 諁 U+555C U+8AC1
啞 𤺘 U+555E U+24E98
啞 痖 U+555E U+75D6
啞 唖 U+555E U+5516
啞 瘂 U+555E U+7602
啟 闙 U+555F U+95D9
啟 启 U+555F U+542F
啟 啓 U+555F U+5553
啟 𠷠 U+555F U+20DE0
啥 𠍽 U+5565 U+2037D
啼 嗁 U+557C U+55C1
喃 䛁 U+5583 U+46C1
喃 𠲸 U+5583 U+20CB8
善 譱 U+5584 U+8B71
善 𠲘 U+5584 U+20C98
善 𦎍 U+5584 U+2638D
善 𧨅 U+5584 U+27A05
善 𠵊 U+5584 U+20D4A
善 𠾄 U+5584 U+20F84
喉 𦞈 U+5589 U+26788
喉 㗋 U+5589 U+35CB
喋 𠿚 U+558B U+20FDA
喋 𠴬 U+558B U+20D2C
喏 㘃 U+558F U+3603
喏 𠰒 U+558F U+20C12
喏 𡁠 U+558F U+21060
喜 憘 U+559C U+6198
喝 𠿒 U+559D U+20FD2
喝 𡀽 U+559D U+2103D
喟 𠷝 U+559F U+20DDD
喧 吅 U+55A7 U+5405
喨 哴 U+55A8 U+54F4
喪 𡂤 U+55AA U+210A4
喪 䘮 U+55AA U+462E
喪 𠷔 U+55AA U+20DD4
喪 𠸶 U+55AA U+20E36
喫 噄 U+55AB U+5644
喫 𠿊 U+55AB U+20FCA
喬 𠳮 U+55AC U+20CEE
喬 乔 U+55AC U+4E54
單 単 U+55AE U+5358
單 单 U+55AE U+5355
單 𠫹 U+55AE U+20AF9
喻 喩 U+55BB U+55A9
嗂 𠿌 U+55C2 U+20FCC
嗄 𣣺 U+55C4 U+238FA
嗄 𠷚 U+55C4 U+20DDA
嗅 齅 U+55C5 U+9F45
嗅 㗜 U+55C5 U+35DC
嗅 𪖻 U+55C5 U+2A5BB
嗇 𠻮 U+55C7 U+20EEE
嗑 㗐 U+55D1 U+35D0
嗒 㗳 U+55D2 U+35F3
嗜 𨢍 U+55DC U+2888D
嗜 呩 U+55DC U+5469
嗜 𩝙 U+55DC U+29759
嗟 𨲠 U+55DF U+28CA0
嗟 𠺜 U+55DF U+20E9C
嗣 𢩚 U+55E3 U+22A5A
嗣 孠 U+55E3 U+5B60
嗤 𠷣 U+55E4 U+20DE3
嗤 𣣷 U+55E4 U+238F7
嗥 嘷 U+55E5 U+5637
嗽 瘶 U+55FD U+7636
嗾 𠻣 U+55FE U+20EE3
嘁 㗤 U+5601 U+35E4
嘁 𡄱 U+5601 U+21131
嘁 𡂔 U+5601 U+21094
嘆 歎 U+5606 U+6B4E
嘆 𡂥 U+5606 U+210A5
嘆 嘆 U+5606 U+2F84C
嘈 䜊 U+5608 U+470A
嘎 尜 U+560E U+5C1C
嘓 啯 U+5613 U+556F
嘗 𡮢 U+5617 U+21BA2
嘗 𠹉 U+5617 U+20E49
嘗 甞 U+5617 U+751E
嘬 𠻕 U+562C U+20ED5
嘯 嘨 U+562F U+5628
嘯 歗 U+562F U+6B57
嘴 𠾋 U+5634 U+20F8B
嘴 𠿘 U+5634 U+20FD8
嘴 𡁫 U+5634 U+2106B
噀 𠸃 U+5640 U+20E03
噁 恶 U+5641 U+6076
噁 𫫖 U+5641 U+2BAD6
噅 噕 U+5645 U+5655
噆 𠾱 U+5646 U+20FB1
噦 𧬨 U+5666 U+27B28
器 𡄛 U+5668 U+2111B
器 噐 U+5668 U+5650
噫 𢤏 U+566B U+2290F
噰 𡄸 U+5670 U+21138
噱 㘌 U+5671 U+360C
噱 㖸 U+5671 U+35B8
嚌 𠴧 U+568C U+20D27
嚎 噑 U+568E U+5651
嚏 嚔 U+568F U+5694
嚏 𠲣 U+568F U+20CA3
嚏 𪖰 U+568F U+2A5B0
嚏 㗣 U+568F U+35E3
嚗 𡄗 U+5697 U+21117
嚙 𠼜 U+5699 U+20F1C
嚙 𪘅 U+5699 U+2A605
嚙 𠲼 U+5699 U+20CBC
嚙 囓 U+5699 U+56D3
嚚 𠿦 U+569A U+20FE6
嚚 𡅚 U+569A U+2115A
嚚 𡓿 U+569A U+214FF
嚚 𡓶 U+569A U+214F6
