# CB码, 原文字形, 近似字形, 正字, 组字式, 词频
04467,𪫟,,怵,[惏-木],35
31872,,,纔,[糸*(冬-ㄆ+免)],35
13374,,嚏,,[口*(唐-口+(走-土))],35
18866,𮚆,賊,,[貝*戒],35
31402,𫝹,,念,[企-止+(二/心)],35
01714,,𨾜,售,[隹/(至-土)],35
23344,𮑇,𦽗,,[卄/敞],34
21899,䰅,,鬚,[肆-聿+((彰-章)/頁)],34
15840,,䂬,,[(工*几)/石],34
30224,𩛙,,飭,[餚-有+方],34
28632,,𤢠,,[狂-王+(山/日/(句-口+匕))],34
22001,,,備,[備-用+冉],33
06396,𮢶,,,[醫-酉+金],33
27953,,,臂,[(尸@月)*(辛-二+三)],33
15875,𬅿,,,[此/且],33
22894,,顊,,[(阜-十+止)*頁],32
23034,,𩪯,,[胺-女+(尸@貝)],32
26073,,,婬,[婬-壬+工],32
25639,𤴷,,,[病-丙+木],32
11109,,侹,,[健-聿+手],32
04912,,𣩵,殯,[歹*(實-毌+尸)],32
16910,䂮,,,[((素-糸)*力)/石],32
31061,,𢛳,,[十/(罩-卓+心)],32
04373,𪘱,,,[齕-乙+(有-月+目)],32
04319,,䫘,,[(曷-人+乂)*頁],32
29951,,檨,,[木*羡],32
27040,,抓,,[打-丁+(瓜-、)],31
00742,,𭹳,,[王*((禾*ㄉ)/木)],31
08838,𭩮,,梁,[(冰-水+刃)/木],31
05369,𬛓,,,[月*參],31
15328,,款,,[款-士+止],31
11318,,𤿥,皺,[(甬-用+(刃/一))*皮],31
10828,𭵴,,熱,[執/火],31
05330,𭾡,,梟,[具-八+(巢-果)],31
15593,韲,,,[〦/(刀*了*(留-刀-田))/韭],31
23052,,𮇬,隸,[(上/天)*(入/米)],31
04132,𮧊,,,[面/且],31
26639,𫟚,,裡,[重/(衣-〦)],30
01887,𬽳,,,[佩-一],30
06466,𮑭,,藉,[卄/稓],30
02981,,低,,[仁-二+氏],30
01763,,瓈,璃,[王*(黎-(暴-(日/共))+(恭-共))],30
06902,,胄,,[由/日],30
02591,𮜭,𨇼,,[戀-心+足],30
25230,𭓯,,害,[宋-木+舌],30
08992,,簙,,[筷-夬+尃],30
07151,,,黿,[元/龜],30
13383,,嚟,,[黍-禾+唎],29
13610,𭏊,,墀,[坭-匕+羊],29
07481,,𣬉,,[奐-大+比],29
07766,𬜮,,,[卄/(雪-雨+(雪-雨))],29
29948,𪮲,,,[打-丁+羡],29
01899,𭽫,,,[峻-山+皮],29
13982,𦲭,,葺,[卄/口/└/月],29
21783,,㊟,,[○@註],29
09252,𭩎,,膠,[月*(羽/尒)],29
32378,,𠀍,世,[卄-一+士],29
30250,,𦵏,,[(蕵-食+匕)/大],28
25281,𢦙,,,[戒-廾+ㄠ],28
02303,,韈,,[革*(卄/(ㄇ@人)/戍)],28
22980,𨶩,,,[門@(恙-心+皿)],28
28909,,韈,,[革*薎],28
33090,,捲,,[打-丁+(券-刀+(令-(合-口)+、))],28
03166,,㘿,,[坦-一+工],28
09714,𣫘,,,[聲-耳+(夕*(ㄗ@、))],28
05842,𭍠,,嗇,[素-糸+回],28
31894,,仰,,[仁-二+((留-田)-刀+ㄗ)],28
30247,𡍼,,塗,[(冰-水+余)/土],28
28195,,,捉,[拐-刀+(之-、)],28
09456,𮩸,,馽,[馬-(烈-列)+中],28
13377,㵪,,,[泳-永+羡],28
23338,𦷥,,,[卄/敉],28
24729,㢢,,,[敞/廾],27
01200,氎,,,[(畾/(冗-几+互))*毛],27
28381,,寫,,[冗-几+(舄-臼+(〡*日))],27
08777,𡡉,,,[序-予+婪],27
00324,𭔐,,,[宋-木+巢],27
15595,,鞾,,[革*(華-(十*〡*十)+(人*〡*人))],27
09225,𫇴,,,[卄/(急-心)],27
31643,𭮀,,,[死-匕+巳],27
30202,𤲅,,菴,[奄-大+共],27
15665,,,諄,[諒-小+日],27
09808,,㬥,,[日/出/八/((犀-尸)-牛+十)],26
02963,沭,,,[汱-大+木],26
22103,𬚽,,明,[冏*月],26
27942,𫮺,,,[((宭-尹+工)*谷)/土],26
27051,𢬜,,,[打-丁+(旅-方)],26
08057,,,瘞,[瘞-夾+(券-刀)],26
07047,𭟵,,,[戒-廾+角],26
22080,,襍,,[社-土+集],26
22231,,噬,,[口*莁],26
04372,𬛜,,,[胺-女+(眉-目+貝)],26
01610,䟫,,,[常-吊+足],26
25779,𨗻,,,[這-言+罪],26
28385,,,臘,[月*(山/日/(句-口+匕))],26
22207,,𡬝,,[〦/小],26
21943,,䰟,魂,[鬼-(白-日)+ㄊ],26
22364,,黎,,[利/尒],26
21939,龯,,,[金*戊],26
08603,,𠨺,,[厂@千],26
02391,𫮈,,,[土*厘],26
12535,,,藕,[萩-火+禺],26
22759,,裦,,[褎-禾+子],25
06194,,醢,,[醢-右+(乞-乙+口)],25
15243,,貿,,[卯/貝],25
02081,𩬩,,髻,[肆-聿+((彰-章)/古)],25
07693,𮩴,,馵,[馬-(烈-列)+廾],25
02913,𫪦,,,[口*知],25
07944,,錍,,[金*((白-日+田)/廾)],25
18561,,,柔,[弟/木],25
08697,𭁿,,冦,[冗-几+祋],25
25188,,𦕬,,[耳*夕*ㄗ],25
17729,,弉,,[狀/廾],25
22621,,䔬,,[前-刖+異],25
09067,𭣼,,整,[整-束+牙],25
09107,,𦘺,,[夗-夕+月],25
05976,𪻱,,,[王*函],25
23936,𢫀,,,[去/手],24
01823,,,蕤,[卄/(麩-夫+壬)],24
01920,𧒢,,,[蝨-十+虫],24
05448,㉦,,,[○@人],24
31286,𭤸,,施,[施-也+巴],24
32609,,,,[酉*刕],24
01941,𮒸,,,[卄/執/衣],24
32445,𬜮,,芻,[卄/((巨-匚)@一)/((巨-匚)@一)],24
08067,𠆠,,,[斖-且+(烈-列+酉)],24
10319,,𢢑,,[佫-口+思],24
32765,,,閂,[木*閂],24
03278,𭈂,,,[口*但],24
01807,,𠏉,榦,[榦-木+禾],24
02521,妭,,,[女*(犮-乂+又)],24
22870,,𪘨,,[齒*(〦/米)],23
07358,𢛳,,,[德-彳],23
05594,𭇻,,,[口*芋],23
23780,,杞,,[木*已],23
29479,㫄,,,[〦/(句-口+方)],23
11890,𧙍,,,[失/衣],23
22223,𧴥,,,[力/貝],23
25595,渕,,,[洌-歹+并],23
30706,𪠥,,,[又/月],23
00819,,怛,,[怡-台+(日/工)],23
01501,𮋅,,翳,[(臣*又)/羽],23
00755,𮒄,,,[卄/(跳-兆+束)],22
22008,,備,,[供-八+冉],22
32336,,,投,[投-几+口],22
27313,,,角,[美-(王/大)+用],22
05886,,,茝,[卄/(〡*臣)],22
32564,,,獨,[彳*蜀],22
26725,,,哭,[(人*〡*人)/大],22
09566,,𩂳,,[雨/(並-(前-刖))],22
24130,𭩶,,,[列/木],22
13849,𭉴,,,[嗨-每+(日/工)],22
06676,𮑺,,薄,[蘹-褱+尃],22
23064,,磔,,[石*((歹*歹)/木)],22
28044,,,㘑,[口*(上/天)*(入/米)],22
03602,,,弱,[苟*苟],21
01849,𭬱,,,[木*遲],21
22819,,昴,,[曰/(夕*ㄗ)],21
14696,,𨄔,,[蹲-酋+(十/田)],21
07896,,䄏,,[示*芺],21
05748,,暕,,[日*東],21
00976,𮗤,,,[角*升],21
02171,𭛔,,,[彰-章+原],21
09126,,,華,[莁-┴+十],21
03870,𮒶,,孽,[薜/子],21
28155,,,諂,[言*(采-木+(〡*日))],21
31507,扨,,,[打-丁+刃],21
28167,,㳤,,[泳-永+(、廾、、、)],21
02517,,㲲,,[(畾/且)*毛],20
29765,𬒳,,被,[社-土+皮],20
25894,,,甍,[夢-夕+几],20
24188,𦁕,,總,[糸*忽],20
02243,𭷥,,,[(犛-厂)-未+牙],20
22043,𫞀,,族,[方*矣],20
31686,鍳,,,[鑒-(罩-卓)],20
30645,𨤾,,金,[金-工+(長-(畏-(田/一)))],20
09976,,卵,,[卯-ㄗ+(ㄗ@、)],20
06051,𭅖,,,[匚@干],20
01293,𥊚,,,[目*麻],20
02395,,,屎,[尸@失],20
28734,𨓝,,,[這-言+(色-巴+(帝-(立-一)))],20
03928,,㖂,,[口*(尤-尢+曳)],20
21885,,循,,[攸-ㄆ+盾],20
01658,㗳,,,[口*答],20
07261,𭚾,,,[弟*令],20
24245,頢,,,[舌*頁],20
12651,,𦙄,胸,[(凵@又)/月],19
26908,𪥲,,,[女*(乏-之+犬)],19
23133,𧆞,,,[皮-(〡/又)+(王/巾)],19
10038,,,仡,[佔-口+乙],19
28743,,鬚,,[肆-聿+((彰-章)/(泳-永+頁))],19
09890,,,賈,[(臾-臼+?)/貝],19
31762,,,禪,[禪-(口*口)+(ㄙ*ㄙ)],19
04889,𫝽,,,[打-丁+修],19
01829,,,㗘,[口*(十/田/寸)],19
03716,,,奭,[〦/(目*目)/大],19
25263,𭙡,,,[序-予+甬],19
02840,𬀹,,,[日*弟],19
25763,𫐠,,,[這-言+木],19
26341,𫟚,,,[(重-┴)/衣],19
27900,,䟽,,[跳-兆+(梳-木-、)],19
09630,,兀,,[一/几],19
04919,,鎞,,[鎞-囟+(奐-大)],19
22994,,,茫,[茫-亡+(匚@一)],19
25919,,澷,,[漫-又+万],19
01545,𮁽,,,[示*矣],19
15316,,馗,,[尬-介+首],19
24621,,弊,,[敉/廾],19
27929,,𥆳,,[(、廾、、、、)/日],19
22021,,罇,樽,[卸-ㄗ+尊],19
04911,,,蕤,[卄/(麩-夫+玉)],19
31335,,,衲,[社-土+內],19
07515,,𦞦,,[腕-夗+隹],18
27490,,𣫘,,[聲-耳+(夕*ㄗ)],18
22344,,,糞,[米/里],18
01521,,𠋰,,[仁-二+韱],18
30479,𫠦,,所,[一/((月-三+一)*(乞-乙+〡))],18
11622,,,喪,[〦/(口*口)/(匚@一)],18
01770,𭠷,,,[打-丁+坒],18
03100,𭖲,,,[?/山],18
01158,𭞪,,,[怡-台+惡],18
08070,,斗,,[┴*├],18
08768,,寇,,[宋-木+祋],18
02672,,瀃,,[浿*昜],18
08944,𮏯,𠞦,策,[莉-禾+夾],18
12921,𪺏,,豸,[受-(冗-几+又)+豕],18
03029,𭸴,,,[玃-(目*目)+賏],18
04207,𫺳,,,[怡-台+差],18
05148,㊌,,,[○@水],18
07662,㕹,,,[口*(犮-乂+又)],18
31185,𮐃,,蒙,[卄/家],18
22626,,苟,,[首-自+句],18
05927,,,直,[匕/且],18
03808,𮍏,,,[戊@臣],18
15356,,嫓,,[媲-囟+(色-巴+囚)],18
25410,𣴊,,,[泳-永+色],18
33023,,,曄,[暘-勿+((傘-(企-止))-┬+(一/ㄎ))],18
26134,,誈,,[諲-西+不],18
16315,,𮭗,,[鳥*感],18
03085,𫻪,,忒,[忒-弋+戈],17
04487,,斵,,[(卯/亞)*斤],17
27258,𥚣,,,[社-土+(乃@吉)],17
03525,𪢚,,,[口*撮],17
02378,哶,,,[口*(卄/干)],17
10238,,,形,[彰-章+并],17
13177,,,鬘,[肆-聿+(彰-章+(曼-又+方))],17
05390,,軑,,[車*犬],17
23171,,𪎈,,[(麩-夫+弋)-來+(素-糸)],17
10263,,𧋝,蝶,[蝶-世+(〦/ㄙ)],17
25466,,泓,,[泓-ㄙ+口],17
30505,,㽵,莊,[病-丙+(玉-王+土)],17
09117,,𡿺,,[甾-十+乂],17
30215,栁,,,[梆-丰+夕],17
08656,𭪴,,桀,[(歹*歹)/木],17
25535,𥬒,,,[竺-二+犮],17
09868,𡧘,,,[家-?],17
29955,𭄶,,務,[騖-馬+力],17
24384,𨈢,,,[身*亢],17
12737,𮒷,,,[(薩-產+辛)/米],17
32327,,,遷,[遷-(大/(夗-夕))+冬],17
08767,,窯,,[宋-木+羔],17
02797,𣂞,,,[朗-月+斤],17
07086,,𦣞,,[〡*臣],17
25540,,虎,,[虎-儿+几],17
02283,𭔋,,,[宋-木+悎],17
01641,,𨢸,,[醠-央+羊],17
15688,,,蠃,[蠃-口+(罩-卓)],17
10103,,,保,[采-木+呆],17
13515,,襵,,[示*聶],17
05320,𮊁,,罟,[(ㄇ@︿)/古],17
06444,𮨱,,,[颱-台+(癸-天+虫)],17
04972,㊞,,,[○@印],17
08645,𮜋,,,[軗/足],17
04080,𬑠,,,[目*隻],17
09329,,䰫,,[(魅-ㄙ)-未+堯],16
21045,𡨝,,,[容-口+夕],16
11079,,𤵋,,[病-丙+互],16
03851,𫕟,,霄,[雨/月],16
07844,,啚,,[口/(百-日+回)],16
03897,𪠻,,,[梳-木+口],16
09038,,㶳,,[盡-皿+火],16
15778,,窓,,[空/心],16
29767,,𢆰,互,[一/(ㄠ-、)],16
13571,𮖷,,,[袖-由+業],16
26403,,篋,,[卄/(匚@夾)],16
25476,,,耗,[社-土+毛],16
10070,𠔉,,,[券-刀],16
18906,㊎,,,[○@金],16
27728,,,探,[打-丁+(冗-几+米)],16
01750,𮑀,,,[卄/博],16
05347,,,黿,[元/?],16
09660,,㛴,,[女*(巢-果+(离-禸))],16
22196,,筯,,[筋-月+耳],16
16403,,,豈,[壴-士+止],16
03014,𪱳,,扣,[木*口],16
02127,𮄥,,夢,[穴/(爿*夢)],16
05469,𫋴,,,[六/衣],16
08579,𮅕,,,[纂-糸],16
06717,,椑,,[椑-(白-日)],16
22277,𪱽,,,[木*用],16
09738,,,喪,[〦/(口*口)/(┌/┌/一)],16
01694,䤍,,,[醛-全+兩],16
01411,𡑝,,疄,[嶙-山+土],15
08585,,毚,,[毚-、],15
04917,,塚,,[塚-豖+(一/豖)],15
31270,𭛁,,發,[(並-(前-刖))/(弓*ㄆ)],15
03143,𮥻,,,[尼*隹],15
05710,𮫱,,,[敲-高+魚],15
33463,,勅,,[朿*力],15
26212,,,殺,[(又/木)*ㄆ],15
01977,𮈴,,,[糸*迸],15
32273,,㪽,所,[一/(晦-母+〡)],15
03952,𡀿,,,[口*(尸@((貴-貝)/(?/女)))],15
